onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.12	5	1	1
6	2.5	0	3	2.16	5	1	2
11.001	2.5	0	3	2.2	11	2	1
16	2.5	0	3	2.38	11	2	2
31	2.5	0	3	2.16	12	2	1
36	2.5	0	3	2.31	12	2	2
41.001	2.5	0	3	2.23	7	2	1
46	2.5	0	3	2.45	7	2	2
51.002	2.5	0	3	2.26	6	1	1
56.062	2.5	0	3	2.44	6	1	2
61.172	2.5	0	3	2.35	4	1	1
66.198	2.5	0	3	2.39	4	1	2
71.116	2.5	0	3	2.46	9	2	1
76.241	2.5	0	3	2.39	9	2	2
81.208	2.5	0	3	2.26	8	2	1
86.1	2.5	0	3	2.39	8	2	2
91.077	2.5	0	3	2.31	5	1	1
96.001	2.5	0	3	2.39	5	1	2
101.002	2.5	0	3	2.36	11	2	1
106.07	2.5	0	3	2.34	11	2	2
111.002	2.5	0	3	2.36	11	2	1
116.093	2.5	0	3	2.39	11	2	2
121.079	2.5	0	3	2.27	4	1	1
126	2.5	0	3	2.33	4	1	2
131.001	2.5	0	3	2.35	9	2	1
136	2.5	0	3	2.3	9	2	2
141	2.5	0	3	2.25	3	1	1
146	2.5	0	3	2.3	3	1	2
151.029	2.5	0	3	2.26	5	1	1
156	2.5	0	3	2.32	5	1	2
171	2.5	0	3	2.38	2	1	1
176.032	2.5	0	3	2.3	2	1	2
181.001	2.5	0	3	2.35	3	1	1
186.025	2.5	0	3	2.33	3	1	2
191	2.5	0	3	2.41	10	2	1
196.102	2.5	0	3	2.35	10	2	2
201.122	2.5	0	3	2.36	1	1	1
206.066	2.5	0	3	2.36	1	1	2
211.001	2.5	0	3	2.29	8	2	1
216.003	2.5	0	3	2.22	8	2	2
231	2.5	0	3	2.39	1	1	1
236.001	2.5	0	3	2.33	1	1	2
241	2.5	0	3	2.21	8	2	1
246	2.5	0	3	2.21	8	2	2
251.002	2.5	0	3	2.44	12	2	1
256.143	2.5	0	3	2.46	12	2	2
261.357	2.5	0	3	2.31	2	1	1
266.3	2.5	0	3	2.29	2	1	2
271.125	2.5	0	3	2.33	3	1	1
276.1	2.5	0	3	2.4	3	1	2
281.128	2.5	0	3	2.36	4	1	1
286.174	2.5	0	3	2.54	4	1	2
291.356	2.5	0	3	2.31	10	2	1
296.219	2.5	0	3	2.38	10	2	2
301.263	2.5	0	3	2.43	7	2	1
306.304	2.5	0	3	2.64	7	2	2
311.477	2.5	0	3	2.31	12	2	1
316.395	2.5	0	3	2.43	12	2	2
321.509	2.5	0	3	2.45	6	1	1
326.71	2.5	0	3	2.36	6	1	2
331.68	2.5	0	3	2.31	7	2	1
336.791	2.5	0	3	2.44	7	2	2
341.918	2.5	0	3	2.38	1	1	1
347.084	2.5	0	3	2.46	1	1	2
352.15	2.5	0	3	2.43	9	2	1
357.24	2.5	0	3	2.42	9	2	2
371	2.5	0	3	2.19	2	1	1
376	2.5	0	3	2.31	2	1	2
381	2.5	0	3	2.31	10	2	1
386.002	2.5	0	3	2.28	10	2	2
401.002	2.5	0	3	2.39	6	1	1
406.001	2.5	0	3	2.53	6	1	2
