onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	1.37	12	2	1
6.001	2.5	0	3	1.33	12	2	2
11.002	2.5	1	0	1.12	3	1	1
16.003	2.5	0	3	1	3	1	2
31.002	2.5	0	3	1.37	7	2	1
36	2.5	0	3	1.44	7	2	2
41.001	2.5	0	3	1.7	9	2	1
46.003	2.5	1	0	1.89	9	2	2
61.001	2.5	0	3	1.47	3	1	1
66	2.5	0	3	1.11	3	1	2
71	2.5	0	3	1.33	6	1	1
76.002	2.5	1	0	1.25	6	1	2
81	2.5	0	3	1.5	8	2	1
86.001	2.5	1	0	0	8	2	2
92.147	2.5	0	3	1.26	3	1	1
96.063	2.5	0	3	0.98	3	1	2
101.001	2.5	0	3	1.4	4	1	1
106.001	2.5	0	3	1.06	4	1	2
111	2.5	0	3	1.28	6	1	1
116.001	2.5	0	3	1.23	6	1	2
121.001	2.5	0	3	1.62	9	2	1
126.002	2.5	0	3	1.53	9	2	2
131.001	2.5	0	3	1.2	5	1	1
136.002	2.5	0	3	1.36	5	1	2
141	2.5	0	3	1.27	2	1	1
146.001	2.5	1	0	1.45	2	1	2
151.003	2.5	0	3	1.58	6	1	1
156.002	2.5	0	3	1.52	6	1	2
161.003	2.5	0	3	1.3	4	1	1
166.001	2.5	0	3	1.24	4	1	2
181	2.5	1	0	1.84	8	2	1
186.002	2.5	1	0	1.78	8	2	2
191.002	2.5	0	3	1.4	8	2	1
196.001	2.5	1	0	1.88	8	2	2
201	2.5	0	3	1.31	4	1	1
206.001	2.5	0	3	1.13	4	1	2
211.003	2.5	0	3	1.58	11	2	1
216.001	2.5	1	0	2.07	11	2	2
221.001	2.5	0	3	1.62	9	2	1
226.002	2.5	0	3	1.52	9	2	2
241.001	2.5	0	3	1.19	1	1	1
246.001	2.5	0	3	1.19	1	1	2
251.001	2.5	0	3	1.16	2	1	1
256.001	2.5	1	0	1.98	2	1	2
261	2.5	1	0	1.98	10	2	1
266	2.5	0	3	1.97	10	2	2
271.003	2.5	0	3	1.39	11	2	1
276.627	2.5	0	3	1.26	11	2	2
281	2.5	1	0	1.84	1	1	1
286.782	2.5	1	0	1.61	1	1	2
291.399	2.5	0	3	1.55	10	2	1
296	2.5	0	3	2.21	10	2	2
301	2.5	0	3	1.3	11	2	1
306.002	2.5	1	0	0	11	2	2
312.058	2.5	0	3	2.41	1	1	1
316.002	2.5	0	3	1.18	1	1	2
331.004	2.5	0	3	1.55	5	1	1
336	2.5	0	3	1.29	5	1	2
341	2.5	0	3	1.78	12	2	1
346.001	2.5	0	3	1.22	12	2	2
351.35	2.5	0	3	1.26	7	2	1
356.001	2.5	0	3	1.35	7	2	2
361	2.5	1	0	1.55	10	2	1
366.001	2.5	0	3	1.52	10	2	2
371.001	2.5	0	3	1.17	12	2	1
376.001	2.5	0	3	1.59	12	2	2
381.001	2.5	0	3	1.64	7	2	1
386.002	2.5	0	3	1.29	7	2	2
391.001	2.5	0	3	1.29	2	1	1
396.001	2.5	0	3	1.02	2	1	2
401.001	2.5	0	3	1.42	5	1	1
406.001	2.5	0	3	1.01	5	1	2
