onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	0.96	3	1	1
6	2.5	0	3	0.9	3	1	2
21.001	2.5	0	3	1.37	8	2	1
26.001	2.5	0	3	1.14	8	2	2
31.002	2.5	0	3	0.96	5	1	1
36.001	2.5	0	3	1.04	5	1	2
41.001	2.5	0	3	0.93	5	1	1
46	2.5	0	3	0.95	5	1	2
51	2.5	0	3	0.92	6	1	1
56.001	2.5	0	3	0.93	6	1	2
61.001	2.5	0	3	1.11	11	2	1
66	2.5	0	3	1.26	11	2	2
71.003	2.5	0	3	1.13	12	2	1
76.002	2.5	0	3	1.08	12	2	2
81.002	2.5	0	3	1.03	8	2	1
86	2.5	0	3	1.15	8	2	2
91	2.5	0	3	1.15	12	2	1
96	2.5	0	3	1.23	12	2	2
101.002	2.5	1	0	0.99	3	1	1
106	2.5	0	3	1.13	3	1	2
111.002	2.5	0	3	0.87	4	1	1
116	2.5	0	3	0.94	4	1	2
131.001	2.5	0	3	1.07	12	2	1
136	2.5	1	0	1.87	12	2	2
141.002	2.5	0	3	1.18	9	2	1
146	2.5	0	3	1.35	9	2	2
151.003	2.5	0	3	0.94	2	1	1
156.001	2.5	0	3	0.93	2	1	2
161	2.5	0	3	0.9	6	1	1
166.001	2.5	0	3	0.91	6	1	2
171	2.5	0	3	1.25	7	2	1
176.001	2.5	0	3	1.12	7	2	2
181.002	2.5	0	3	0.95	2	1	1
186.001	2.5	1	0	0.95	2	1	2
191.001	2.5	1	0	1.45	11	2	1
196	2.5	1	0	1.43	11	2	2
201.002	2.5	0	3	1.36	4	1	1
206	2.5	0	3	1.24	4	1	2
221.002	2.5	0	3	1.05	9	2	1
226.001	2.5	0	3	1.08	9	2	2
231	2.5	1	0	1.67	10	2	1
236	2.5	0	3	1.15	10	2	2
241.002	2.5	0	3	0.93	1	1	1
246.001	2.5	0	3	0.91	1	1	2
251.003	2.5	0	3	0.94	3	1	1
256	2.5	0	3	0.94	3	1	2
261.002	2.5	0	3	1.14	8	2	1
266.001	2.5	0	3	1.17	8	2	2
271	2.5	0	3	1.36	7	2	1
276	2.5	0	3	1.16	7	2	2
281	2.5	0	3	1.09	9	2	1
286	2.5	0	3	1.1	9	2	2
291	2.5	0	3	1.22	11	2	1
296	2.5	1	0	1.48	11	2	2
301.002	2.5	1	0	2.25	10	2	1
306.16	2.5	1	0	1.9	10	2	2
311.169	2.5	0	3	0.92	5	1	1
316.002	2.5	0	3	1.01	5	1	2
331	2.5	0	3	0.89	1	1	1
336.003	2.5	0	3	0.87	1	1	2
341	2.5	0	3	0.87	6	1	1
346.001	2.5	0	3	0.84	6	1	2
351	2.5	0	3	0.82	1	1	1
356.001	2.5	1	0	0.86	1	1	2
361.001	2.5	0	3	0.95	4	1	1
366.001	2.5	0	3	0.9	4	1	2
381.001	2.5	1	0	1.62	10	2	1
386.001	2.5	0	3	1.38	10	2	2
391	2.5	0	3	2.01	7	2	1
396.001	2.5	0	3	1.21	7	2	2
401.002	2.5	0	3	1.02	2	1	1
406.001	2.5	1	0	1.04	2	1	2
