onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.35	7	2	1
6.433	2.5	0	3	2.43	7	2	2
21	2.5	0	3	2.27	1	1	1
26.267	2.5	0	3	2.41	1	1	2
31.639	2.5	0	3	2.16	3	1	1
36.572	2.5	0	3	2.27	3	1	2
41.824	2.5	0	3	2.36	8	2	1
47.165	2.5	0	3	2.33	8	2	2
52.381	2.5	0	3	2.53	9	2	1
57.934	2.5	0	3	2.53	9	2	2
63.34	2.5	0	3	2.41	6	1	1
68.616	2.5	0	3	2.41	6	1	2
73.903	2.5	0	3	2.29	4	1	1
79.152	2.5	0	3	2.45	4	1	2
84.516	2.5	0	3	2.31	4	1	1
89.785	2.5	0	3	2.32	4	1	2
95.116	2.5	0	3	2.29	5	1	1
100.361	2.5	0	3	2.31	5	1	2
105.757	2.5	0	3	2.32	11	2	1
111.12	2.5	0	3	2.34	11	2	2
116.409	2.5	0	3	2.44	7	2	1
121.879	2.5	0	3	2.47	7	2	2
131	2.5	0	3	2.46	7	2	1
136.478	2.5	0	3	2.48	7	2	2
141.947	2.5	0	3	2.38	11	2	1
147.208	2.5	0	3	2.48	11	2	2
152.608	2.5	0	3	2.53	8	2	1
158.271	2.5	0	3	2.42	8	2	2
163.604	2.5	0	3	2.32	3	1	1
168.832	2.5	0	3	2.44	3	1	2
181	2.5	0	3	2.32	2	1	1
186.276	2.5	0	3	2.11	2	1	2
191.516	2.5	0	3	2.4	12	2	1
197.019	2.5	0	3	2.33	12	2	2
202.499	2.5	0	3	2.47	12	2	1
208.023	2.5	0	3	2.45	12	2	2
213.606	2.5	0	3	2.36	10	2	1
218.934	2.5	0	3	2.4	10	2	2
224.291	2.5	0	3	2.34	2	1	1
229.626	2.5	0	3	2.22	2	1	2
234.898	2.5	0	3	2.25	9	2	1
240.191	2.5	0	3	2.26	9	2	2
245.352	2.5	0	3	2.19	2	1	1
250.49	2.5	0	3	2.4	2	1	2
255.9	2.5	0	3	2.31	10	2	1
261.108	2.5	0	3	2.81	10	2	2
271.001	2.5	0	3	2.31	5	1	1
276.318	2.5	0	3	2.07	5	1	2
281.442	2.5	0	3	2.32	8	2	1
286.855	2.5	0	3	2.26	8	2	2
301.001	2.5	0	3	2.35	11	2	1
306.309	2.5	0	3	2.48	11	2	2
311.697	2.5	0	3	2.31	1	1	1
317.005	2.5	0	3	2.39	1	1	2
322.365	2.5	0	3	2.43	10	2	1
327.747	2.5	0	3	2.63	10	2	2
333.298	2.5	0	3	2.27	3	1	1
338.508	2.5	0	3	2.22	3	1	2
343.695	2.5	0	3	2.18	6	1	1
348.945	2.5	0	3	2.13	6	1	2
354.047	2.5	0	3	2.26	4	1	1
359.202	2.5	0	3	2.41	4	1	2
364.565	2.5	0	3	2.4	5	1	1
369.893	2.5	0	3	2.44	5	1	2
375.361	2.5	0	3	2.22	1	1	1
380.572	2.5	0	3	2.34	1	1	2
385.908	2.5	0	3	2.42	9	2	1
391.434	2.5	0	3	2.44	9	2	2
396.794	2.5	0	3	2.57	12	2	1
402.265	2.5	0	3	2.59	12	2	2
407.884	2.5	0	3	2.35	6	1	1
413.297	2.5	0	3	2.34	6	1	2
