onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	1.82	3	1	1
6.001	2.5	0	3	1.94	3	1	2
21.001	2.5	0	3	2.25	8	2	1
26.001	2.5	0	3	2.38	8	2	2
31.084	2.5	1	0	1.9	5	1	1
36	2.5	0	3	2.01	5	1	2
41.002	2.5	0	3	2.36	5	1	1
46.079	2.5	0	3	1.73	5	1	2
51.001	2.5	0	3	2.34	6	1	1
56.001	2.5	0	3	2.32	6	1	2
61.001	2.5	0	3	2.29	11	2	1
66.002	2.5	0	3	1.89	11	2	2
71.001	2.5	0	3	2.34	12	2	1
76.001	2.5	0	3	2.55	12	2	2
81.001	2.5	0	3	2.24	8	2	1
86.031	2.5	0	3	1.93	8	2	2
91	2.5	0	3	1.95	12	2	1
96.002	2.5	0	3	1.82	12	2	2
101.001	2.5	0	3	1.9	3	1	1
106	2.5	0	3	1.72	3	1	2
111.003	2.5	0	3	2.25	4	1	1
116.002	2.5	0	3	2.21	4	1	2
131	2.5	0	3	2.12	12	2	1
136	2.5	1	0	2.12	12	2	2
141	2.5	0	3	1.84	9	2	1
146.001	2.5	0	3	1.86	9	2	2
151.003	2.5	0	3	2.01	2	1	1
156	2.5	0	3	1.97	2	1	2
161	2.5	0	3	2.06	6	1	1
166.001	2.5	0	3	2.97	6	1	2
171.679	2.5	0	3	2.5	7	2	1
177.3	2.5	1	0	2.84	7	2	2
183.099	2.5	0	3	1.92	2	1	1
187.703	2.5	0	3	1.99	2	1	2
192.297	2.5	0	3	2.06	11	2	1
196.547	2.5	0	3	2.58	11	2	2
201.597	2.5	1	0	2.88	4	1	1
206.963	2.5	0	3	2.31	4	1	2
221	2.5	0	3	1.92	9	2	1
226.002	2.5	0	3	1.93	9	2	2
231	2.5	0	3	1.73	10	2	1
236.001	2.5	0	3	1.8	10	2	2
241	2.5	0	3	3.23	1	1	1
246.801	2.5	1	0	2.37	1	1	2
251.807	2.5	1	0	2.22	3	1	1
256.92	2.5	0	3	2.03	3	1	2
261.446	2.5	0	3	2.16	8	2	1
266.009	2.5	0	3	2.13	8	2	2
271.003	2.5	1	0	2.49	7	2	1
276.361	2.5	1	0	2.71	7	2	2
281.745	2.5	0	3	1.67	9	2	1
286.201	2.5	1	0	1.53	9	2	2
291.003	2.5	0	3	2.66	11	2	1
296.263	2.5	0	3	1.97	11	2	2
301.001	2.5	1	0	1.57	10	2	1
306	2.5	0	3	1.88	10	2	2
311	2.5	0	3	1.88	5	1	1
316	2.5	0	3	2.01	5	1	2
331.001	2.5	1	0	2.22	1	1	1
336.001	2.5	1	0	2.25	1	1	2
341.001	2.5	0	3	1.98	6	1	1
346.002	2.5	0	3	1.97	6	1	2
351	2.5	0	3	2.14	1	1	1
356	2.5	0	3	2.05	1	1	2
361.001	2.5	0	3	2.3	4	1	1
366.001	2.5	0	3	1.87	4	1	2
381.001	2.5	0	3	1.69	10	2	1
386.002	2.5	0	3	1.69	10	2	2
391.002	2.5	1	0	2.5	7	2	1
396.147	2.5	1	0	2.58	7	2	2
401.396	2.5	0	3	2.05	2	1	1
406.149	2.5	0	3	2.11	2	1	2
