onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.32	10	2	1
6	2.5	0	3	2.45	10	2	2
21	2.5	0	3	2.32	4	1	1
26	2.5	0	3	2.3	4	1	2
31	2.5	0	3	2.34	9	2	1
36	2.5	0	3	2.32	9	2	2
41	2.5	0	3	2.42	12	2	1
46	2.5	0	3	2.48	12	2	2
51.001	2.5	0	3	2.28	5	1	1
56.001	2.5	0	3	2.58	5	1	2
61	2.5	0	3	2.37	8	2	1
66	2.5	0	3	2.44	8	2	2
71	2.5	1	0	0	10	2	1
76.477	2.5	1	0	0	10	2	2
91	2.5	0	3	2.17	8	2	1
96	2.5	0	3	2.21	8	2	2
101	2.5	0	3	2.27	5	1	1
106	2.5	0	3	2.29	5	1	2
111	2.5	0	3	2.39	12	2	1
116	2.5	0	3	2.35	12	2	2
121.003	2.5	0	3	2.35	11	2	1
126	2.5	0	3	2.37	11	2	2
141	2.5	0	3	2.21	6	1	1
146.002	2.5	0	3	2.33	6	1	2
161.001	2.5	0	3	2.15	2	1	1
166	2.5	0	3	2.25	2	1	2
171	2.5	0	3	2.31	1	1	1
176	2.5	0	3	2.57	1	1	2
181.034	2.5	0	3	2.3	6	1	1
186.001	2.5	0	3	2.39	6	1	2
191	2.5	0	3	2.26	3	1	1
196	2.5	0	3	2.36	3	1	2
201.001	2.5	0	3	2.38	12	2	1
206	2.5	0	3	2.5	12	2	2
211	2.5	0	3	2.31	1	1	1
216	2.5	0	3	2.23	1	1	2
221.002	2.5	0	3	2.3	4	1	1
226	2.5	0	3	2.34	4	1	2
231.002	2.5	1	0	0	7	2	1
236.482	2.5	0	3	2.29	7	2	2
241.334	2.5	0	3	2.34	3	1	1
246.05	2.5	0	3	2.35	3	1	2
251	2.5	0	3	2.32	4	1	1
256	2.5	0	3	2.4	4	1	2
261	2.5	0	3	2.34	2	1	1
266	2.5	0	3	2.3	2	1	2
271	2.5	0	3	2.31	7	2	1
276.002	2.5	0	3	2.41	7	2	2
281.006	2.5	0	3	2.3	2	1	1
286	2.5	0	3	2.34	2	1	2
291	2.5	0	3	2.34	8	2	1
296.002	2.5	0	3	2.39	8	2	2
301.001	2.5	0	3	2.3	5	1	1
306	2.5	1	0	0	5	1	2
311.485	2.5	0	3	2.3	9	2	1
316.362	2.5	0	3	2.3	9	2	2
321.303	2.5	0	3	2.35	10	2	1
326.094	2.5	0	3	2.34	10	2	2
331.02	2.5	0	3	2.44	7	2	1
336	2.5	0	3	2.38	7	2	2
341.001	2.5	0	3	2.35	1	1	1
346	2.5	0	3	2.64	1	1	2
361.003	2.5	0	3	2.29	6	1	1
366.001	2.5	0	3	2.37	6	1	2
371.001	2.5	0	3	2.35	9	2	1
376	2.5	0	3	2.38	9	2	2
381.001	2.5	0	3	2.39	11	2	1
386	2.5	0	3	2.2	11	2	2
391	2.5	0	3	2.52	3	1	1
396.002	2.5	0	3	2.35	3	1	2
401.002	2.5	0	3	2.53	11	2	1
406	2.5	0	3	2.35	11	2	2
