onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.52	3	1	1
6.001	2.5	0	3	2.59	3	1	2
21.001	2.5	0	3	2.46	8	2	1
26	2.5	0	3	2.4	8	2	2
31	2.5	0	3	2.63	5	1	1
36.004	2.5	0	3	2.56	5	1	2
41.069	2.5	0	3	2.43	5	1	1
46.561	2.5	0	3	2.77	5	1	2
51.359	2.5	0	3	2.43	6	1	1
56.899	2.5	0	3	2.96	6	1	2
62.107	2.5	0	3	2.63	11	2	1
67.029	2.5	0	3	2.47	11	2	2
71.607	2.5	0	3	2.77	12	2	1
76.671	2.5	0	3	2.68	12	2	2
81.537	2.5	0	3	2.67	8	2	1
86.428	2.5	0	3	2.94	8	2	2
91.709	2.5	0	3	2.63	12	2	1
96.61	2.5	0	3	2.52	12	2	2
101.503	2.5	0	3	2.53	3	1	1
106.293	2.5	0	3	2.85	3	1	2
111.31	2.5	0	3	2.64	4	1	1
116.259	2.5	0	3	2.62	4	1	2
131.001	2.5	0	3	2.47	12	2	1
136	2.5	0	3	2.44	12	2	2
141.002	2.5	0	3	2.61	9	2	1
146.003	2.5	0	3	2.48	9	2	2
151.001	2.5	0	3	2.8	2	1	1
156.001	2.5	0	3	2.51	2	1	2
161.002	2.5	0	3	2.63	6	1	1
166.001	2.5	0	3	2.9	6	1	2
171.283	2.5	0	3	2.21	7	2	1
176.453	2.5	0	3	2.23	7	2	2
181.865	2.5	0	3	2.78	2	1	1
186.982	2.5	0	3	2.5	2	1	2
192.501	2.5	0	3	2.54	11	2	1
197.348	2.5	0	3	2.41	11	2	2
202.101	2.5	0	3	2.85	4	1	1
207.184	2.5	0	3	2.71	4	1	2
221.001	2.5	0	3	2.82	9	2	1
226.003	2.5	0	3	2.6	9	2	2
231.002	2.5	0	3	2.59	10	2	1
236.021	2.5	0	3	2.47	10	2	2
241	2.5	0	3	2.7	1	1	1
246.001	2.5	0	3	2.69	1	1	2
251.001	2.5	0	3	2.79	3	1	1
256	2.5	0	3	2.52	3	1	2
261.002	2.5	0	3	2.61	8	2	1
266.001	2.5	0	3	2.71	8	2	2
271.002	2.5	0	3	2.91	7	2	1
276	2.5	0	3	2.41	7	2	2
281.001	2.5	0	3	2.98	9	2	1
286	2.5	0	3	2.81	9	2	2
291	2.5	0	3	2.51	11	2	1
296.001	2.5	0	3	2.39	11	2	2
301.001	2.5	0	3	3.03	10	2	1
306.261	2.5	0	3	2.34	10	2	2
311.823	2.5	0	3	2.25	5	1	1
317.208	2.5	0	3	3.28	5	1	2
331.001	2.5	0	3	2.9	1	1	1
336.001	2.5	0	3	2.65	1	1	2
341	2.5	0	3	2.71	6	1	1
346	2.5	0	3	3.35	6	1	2
351	2.5	0	3	2.91	1	1	1
356.209	2.5	0	3	3.09	1	1	2
361.517	2.5	0	3	2.38	4	1	1
366.745	2.5	0	3	2.77	4	1	2
381.001	2.5	0	3	2.6	10	2	1
386.001	2.5	0	3	2.7	10	2	2
391.003	2.5	0	3	2.23	7	2	1
396.001	2.5	0	3	2.66	7	2	2
401.002	2.5	0	3	2.79	2	1	1
406.05	2.5	0	3	2.69	2	1	2
