onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.4	3	1	1
6	2.5	0	3	2.27	3	1	2
21.001	2.5	0	3	2.39	8	2	1
26.002	2.5	0	3	2.37	8	2	2
31	2.5	1	0	2.76	5	1	1
36.328	2.5	0	3	2.36	5	1	2
41.32	2.5	0	3	2.46	5	1	1
46.261	2.5	0	3	2.41	5	1	2
51.208	2.5	0	3	2.65	6	1	1
56.36	2.5	0	3	2.44	6	1	2
61.433	2.5	1	0	2.46	11	2	1
66.435	2.5	0	3	2.5	11	2	2
71.45	2.5	0	3	2.45	12	2	1
76.528	2.5	0	3	2.42	12	2	2
81.478	2.5	0	3	2.47	8	2	1
86.482	2.5	0	3	2.59	8	2	2
91.548	2.5	0	3	2.61	12	2	1
96.772	2.5	0	3	2.48	12	2	2
101.831	2.5	0	3	2.35	3	1	1
106.818	2.5	0	3	2.5	3	1	2
111.747	2.5	0	3	2.64	4	1	1
116.805	2.5	0	3	2.53	4	1	2
131	2.5	0	3	2.53	12	2	1
136.105	2.5	0	3	2.5	12	2	2
141.268	2.5	0	3	2.53	9	2	1
146.453	2.5	0	3	2.57	9	2	2
151.5	2.5	0	3	2.54	2	1	1
156.604	2.5	0	3	2.49	2	1	2
161.782	2.5	1	0	2.65	6	1	1
166.927	2.5	0	3	2.5	6	1	2
171.977	2.5	0	3	2.54	7	2	1
177.068	2.5	0	3	2.61	7	2	2
182.274	2.5	0	3	2.61	2	1	1
187.457	2.5	0	3	2.56	2	1	2
192.624	2.5	0	3	2.53	11	2	1
197.661	2.5	1	0	2.47	11	2	2
202.704	2.5	0	3	2.55	4	1	1
207.895	2.5	0	3	2.59	4	1	2
221.002	2.5	0	3	2.47	9	2	1
226.133	2.5	0	3	2.38	9	2	2
231.156	2.5	0	3	2.44	10	2	1
236.233	2.5	0	3	2.48	10	2	2
241.339	2.5	0	3	2.56	1	1	1
246.472	2.5	0	3	2.43	1	1	2
251.402	2.5	0	3	2.69	3	1	1
256.573	2.5	0	3	2.48	3	1	2
261.619	2.5	0	3	2.47	8	2	1
266.685	2.5	0	3	2.55	8	2	2
271.81	2.5	0	3	2.57	7	2	1
277.009	2.5	0	3	2.48	7	2	2
282.181	2.5	0	3	2.42	9	2	1
287.201	2.5	0	3	2.43	9	2	2
292.08	2.5	0	3	2.45	11	2	1
297.074	2.5	0	3	2.48	11	2	2
302.094	2.5	0	3	2.35	10	2	1
307.192	2.5	0	3	2.53	10	2	2
312.303	2.5	1	0	2.57	5	1	1
317.482	2.5	0	3	2.42	5	1	2
331	2.5	0	3	2.52	1	1	1
336.002	2.5	0	3	2.5	1	1	2
341	2.5	0	3	2.53	6	1	1
346.052	2.5	0	3	2.73	6	1	2
351.165	2.5	0	3	2.43	1	1	1
356.143	2.5	0	3	2.6	1	1	2
361.23	2.5	0	3	2.5	4	1	1
366.255	2.5	0	3	2.45	4	1	2
381.002	2.5	0	3	2.54	10	2	1
386.048	2.5	0	3	2.6	10	2	2
391.243	2.5	0	3	2.6	7	2	1
396.397	2.5	0	3	2.59	7	2	2
401.575	2.5	0	3	2.57	2	1	1
406.717	2.5	0	3	2.63	2	1	2
