onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	1	0	0	12	2	1
6.525	2.5	0	3	2.81	12	2	2
11.511	2.5	0	3	2.77	5	1	1
16.607	2.5	0	3	2.5	5	1	2
21.239	2.5	1	0	0	9	2	1
26.773	2.5	0	3	2.92	9	2	2
32.135	2.5	0	3	2.5	7	2	1
36.974	2.5	0	3	3.07	7	2	2
42.093	2.5	0	3	2.68	1	1	1
47.114	2.5	0	3	2.41	1	1	2
51.754	2.5	1	0	0	10	2	1
57.275	2.5	0	3	2.9	10	2	2
71	2.5	0	3	2.77	11	2	1
76.002	2.5	0	3	2.53	11	2	2
91	2.5	0	3	2.46	2	1	1
96.002	2.5	0	3	2.27	2	1	2
101	2.5	0	3	2.8	4	1	1
106	2.5	0	3	2.73	4	1	2
111	2.5	1	0	2.98	10	2	1
116.415	2.5	1	0	2.86	10	2	2
121.714	2.5	0	3	2.41	8	2	1
126.392	2.5	0	3	2.38	8	2	2
131.001	2.5	0	3	2.41	8	2	1
136	2.5	0	3	2.35	8	2	2
141.002	2.5	0	3	2.3	3	1	1
146	2.5	0	3	2.57	3	1	2
151.003	2.5	0	3	2.58	7	2	1
156	2.5	0	3	2.73	7	2	2
161	2.5	0	3	2.27	7	2	1
166.002	2.5	0	3	2.25	7	2	2
181.001	2.5	0	3	2.54	12	2	1
186	2.5	0	3	2.64	12	2	2
191.002	2.5	0	3	2.56	9	2	1
196.018	2.5	0	3	2.71	9	2	2
201	2.5	0	3	2.4	2	1	1
206	2.5	1	0	2.73	2	1	2
211.001	2.5	0	3	2.25	3	1	1
216	2.5	0	3	2.2	3	1	2
221	2.5	1	0	2.64	4	1	1
226.001	2.5	0	3	2.39	4	1	2
231	2.5	0	3	2.43	2	1	1
236	2.5	0	3	2.45	2	1	2
241	2.5	0	3	2.58	1	1	1
246.001	2.5	0	3	2.56	1	1	2
251.001	2.5	0	3	2.36	6	1	1
256	2.5	0	3	2.27	6	1	2
261	2.5	1	0	2.8	9	2	1
266.156	2.5	0	3	2.51	9	2	2
271.084	2.5	1	0	2.6	1	1	1
276.001	2.5	0	3	2.43	1	1	2
281	2.5	0	3	2.27	6	1	1
286.002	2.5	0	3	2.63	6	1	2
291	2.5	0	3	2.86	11	2	1
296.164	2.5	0	3	2.71	11	2	2
301.126	2.5	0	3	2.64	5	1	1
306.026	2.5	0	3	2.25	5	1	2
321	2.5	0	3	2.69	6	1	1
326.001	2.5	1	0	2.44	6	1	2
331	2.5	0	3	2.6	3	1	1
336	2.5	0	3	2.62	3	1	2
341.001	2.5	0	3	2.51	4	1	1
346	2.5	0	3	2.18	4	1	2
351.002	2.5	0	3	2.32	5	1	1
356.001	2.5	0	3	2.3	5	1	2
361.001	2.5	0	3	2.44	8	2	1
366	2.5	0	3	2.73	8	2	2
371.001	2.5	0	3	2.64	10	2	1
376.078	2.5	0	3	2.65	10	2	2
381.014	2.5	1	0	2.71	12	2	1
386	2.5	0	3	2.55	12	2	2
401	2.5	0	3	2.71	11	2	1
406.001	2.5	0	3	2.76	11	2	2
