onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	1	0	0	12	2	1
6.001	2.5	0	3	2.41	12	2	2
11	2.5	1	0	2.19	5	1	1
16.001	2.5	0	3	2.67	5	1	2
21.001	2.5	0	3	2.76	9	2	1
26	2.5	1	0	2.59	9	2	2
31	2.5	0	3	2.55	7	2	1
36.002	2.5	1	0	0	7	2	2
41.001	2.5	0	3	2.57	1	1	1
46	2.5	0	3	2.48	1	1	2
51.001	2.5	0	3	2.72	10	2	1
56.002	2.5	0	3	2.6	10	2	2
71	2.5	0	3	2.58	11	2	1
76	2.5	0	3	2.51	11	2	2
91	2.5	0	3	2.37	2	1	1
96.001	2.5	0	3	2.39	2	1	2
101.001	2.5	0	3	2.13	4	1	1
106.002	2.5	0	3	2.41	4	1	2
111	2.5	0	3	1.5	10	2	1
116	2.5	0	3	2.6	10	2	2
121	2.5	1	0	2.69	8	2	1
126	2.5	0	3	2.43	8	2	2
131	2.5	0	3	2.33	8	2	1
136.001	2.5	0	3	2.53	8	2	2
141	2.5	0	3	2.44	3	1	1
146	2.5	1	0	2.97	3	1	2
151	2.5	0	3	2.51	7	2	1
156	2.5	0	3	2.48	7	2	2
161	2.5	0	3	2.48	7	2	1
166.001	2.5	0	3	2.42	7	2	2
181	2.5	0	3	2.4	12	2	1
186	2.5	0	3	2.54	12	2	2
191	2.5	0	3	2.35	9	2	1
196	2.5	0	3	2.26	9	2	2
201	2.5	1	0	2.46	2	1	1
206.002	2.5	0	3	2.55	2	1	2
211.002	2.5	0	3	2.45	3	1	1
216	2.5	0	3	2.52	3	1	2
221	2.5	0	3	2.05	4	1	1
226.001	2.5	0	3	2.3	4	1	2
231	2.5	1	0	0	2	1	1
236	2.5	0	3	2.14	2	1	2
241	2.5	0	3	2.35	1	1	1
246.001	2.5	0	3	2.36	1	1	2
251	2.5	0	3	2.2	6	1	1
256	2.5	0	3	2.28	6	1	2
261	2.5	0	3	1.97	9	2	1
266	2.5	0	3	2.16	9	2	2
271.001	2.5	0	3	1.8	1	1	1
276	2.5	0	3	2.65	1	1	2
281	2.5	0	3	2.1	6	1	1
286	2.5	0	3	2.05	6	1	2
291	2.5	0	3	2.28	11	2	1
296	2.5	0	3	2.39	11	2	2
301	2.5	0	3	2.22	5	1	1
306.001	2.5	0	3	2.08	5	1	2
321	2.5	0	3	2.03	6	1	1
326	2.5	0	3	2.83	6	1	2
331.001	2.5	0	3	1.97	3	1	1
336	2.5	0	3	2.01	3	1	2
341.002	2.5	0	3	2.12	4	1	1
346	2.5	0	3	2.13	4	1	2
351.001	2.5	0	3	1.81	5	1	1
356.001	2.5	0	3	2.08	5	1	2
361	2.5	0	3	2.12	8	2	1
366	2.5	0	3	2.29	8	2	2
371	2.5	0	3	2.03	10	2	1
376	2.5	0	3	2.01	10	2	2
381	2.5	0	3	2.23	12	2	1
386	2.5	0	3	1.94	12	2	2
401.001	2.5	0	3	2.02	11	2	1
406	2.5	0	3	1.6	11	2	2
