onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.18	5	1	1
6	2.5	0	3	2.12	5	1	2
21	2.5	0	3	2.23	3	1	1
26	2.5	0	3	2.17	3	1	2
31.002	2.5	0	3	2.02	6	1	1
36.001	2.5	0	3	2.07	6	1	2
41.001	2.5	0	3	2.07	8	2	1
46.003	2.5	1	0	2.33	8	2	2
51	2.5	0	3	2.27	12	2	1
56.001	2.5	0	3	2.28	12	2	2
61	2.5	0	3	2.12	1	1	1
66.001	2.5	0	3	2.1	1	1	2
71	2.5	0	3	2.14	12	2	1
76	2.5	0	3	2.13	12	2	2
91.001	2.5	0	3	2.14	10	2	1
96.001	2.5	0	3	2.11	10	2	2
101	2.5	0	3	2.04	9	2	1
106.001	2.5	0	3	2.15	9	2	2
111	2.5	0	3	1.93	6	1	1
116.001	2.5	1	0	2.36	6	1	2
121	2.5	0	3	1.96	2	1	1
126.002	2.5	0	3	2.03	2	1	2
131	2.5	0	3	1.94	5	1	1
136	2.5	0	3	1.92	5	1	2
141	2.5	0	3	2.14	5	1	1
146.002	2.5	0	3	1.93	5	1	2
151	2.5	0	3	2.03	7	2	1
156.002	2.5	0	3	1.96	7	2	2
161	2.5	0	3	2.01	1	1	1
166.002	2.5	0	3	2.08	1	1	2
171	2.5	0	3	2.07	10	2	1
176	2.5	0	3	2.23	10	2	2
181	2.5	0	3	2.23	2	1	1
186.001	2.5	0	3	2.26	2	1	2
201.001	2.5	0	3	2.24	11	2	1
206	2.5	0	3	2.23	11	2	2
211	2.5	0	3	2.27	2	1	1
216	2.5	0	3	2.17	2	1	2
221	2.5	0	3	2.23	11	2	1
226	2.5	0	3	2.33	11	2	2
231.002	2.5	0	3	2.15	7	2	1
236.001	2.5	0	3	2.15	7	2	2
241.001	2.5	0	3	2.06	1	1	1
246	2.5	0	3	2.05	1	1	2
251	2.5	0	3	2.09	4	1	1
256.001	2.5	0	3	2.14	4	1	2
261	2.5	0	3	2.05	12	2	1
266.002	2.5	0	3	2.16	12	2	2
271	2.5	0	3	2.1	10	2	1
276	2.5	0	3	2.17	10	2	2
291	2.5	0	3	2.08	9	2	1
296	2.5	0	3	2.14	9	2	2
311.002	2.5	0	3	2.18	3	1	1
316.001	2.5	0	3	2.21	3	1	2
321	2.5	0	3	2.2	4	1	1
326	2.5	0	3	2.33	4	1	2
331	2.5	0	3	2.25	11	2	1
336	2.5	0	3	2.29	11	2	2
341	2.5	0	3	2.22	4	1	1
346	2.5	0	3	2.28	4	1	2
351	2.5	0	3	2.25	8	2	1
356.001	2.5	0	3	2.26	8	2	2
361	2.5	0	3	2.2	7	2	1
366	2.5	0	3	2.38	7	2	2
371.002	2.5	0	3	2.12	6	1	1
376	2.5	0	3	2.26	6	1	2
381.001	2.5	0	3	2.25	3	1	1
386	2.5	0	3	2.25	3	1	2
391	2.5	0	3	2.16	8	2	1
396.001	2.5	0	3	2.16	8	2	2
401	2.5	0	3	2.31	9	2	1
406	2.5	0	3	2.2	9	2	2
