onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	1.05	5	1	1
6.002	2.5	1	0	1.85	5	1	2
21.001	2.5	0	3	1.24	5	1	1
26	2.5	0	3	0.91	5	1	2
31	2.5	1	0	0.9	3	1	1
36	2.5	0	3	0.99	3	1	2
41	2.5	0	3	1.06	11	2	1
46	2.5	0	3	1.16	11	2	2
51	2.5	0	3	1.25	8	2	1
56.001	2.5	0	3	1.5	8	2	2
61	2.5	0	3	1.13	1	1	1
66.002	2.5	1	0	1.12	1	1	2
71.001	2.5	0	3	0.88	2	1	1
76.001	2.5	0	3	1.09	2	1	2
81	2.5	0	3	0.97	1	1	1
86.002	2.5	0	3	1.13	1	1	2
91	2.5	0	3	1.44	5	1	1
96	2.5	0	3	0.99	5	1	2
101	2.5	1	0	1.54	3	1	1
106	2.5	0	3	0.86	3	1	2
111.002	2.5	1	0	1.42	4	1	1
116.001	2.5	0	3	1.27	4	1	2
131.002	2.5	1	0	1.96	10	2	1
136	2.5	0	3	1.5	10	2	2
151.002	2.5	0	3	1.07	7	2	1
156.004	2.5	0	3	1.01	7	2	2
161	2.5	0	3	0.97	6	1	1
166.002	2.5	0	3	0.82	6	1	2
171.001	2.5	1	0	1.75	1	1	1
176	2.5	0	3	0.95	1	1	2
181.001	2.5	0	3	1.03	4	1	1
186	2.5	0	3	0.8	4	1	2
191.001	2.5	0	3	0.85	6	1	1
196	2.5	0	3	0.96	6	1	2
201	2.5	0	3	0.86	2	1	1
206.002	2.5	1	0	1.46	2	1	2
211.002	2.5	0	3	1.53	9	2	1
216	2.5	0	3	1.55	9	2	2
221.003	2.5	1	0	1.42	4	1	1
226	2.5	0	3	1.71	4	1	2
231	2.5	0	3	1.37	10	2	1
236	2.5	1	0	1.61	10	2	2
251	2.5	0	3	1.23	10	2	1
256.001	2.5	0	3	1.19	10	2	2
261.001	2.5	0	3	1.7	8	2	1
266.002	2.5	1	0	1.36	8	2	2
271	2.5	0	3	1.1	7	2	1
276	2.5	1	0	1.37	7	2	2
281	2.5	0	3	1.01	3	1	1
286	2.5	0	3	0.8	3	1	2
291	2.5	0	3	1.18	12	2	1
296	2.5	0	3	1.42	12	2	2
301	2.5	0	3	1.25	11	2	1
306.001	2.5	0	3	1.04	11	2	2
321.001	2.5	0	3	1.17	12	2	1
326	2.5	0	3	1.29	12	2	2
331.001	2.5	0	3	0.96	2	1	1
336	2.5	0	3	0.88	2	1	2
341.001	2.5	0	3	1.11	11	2	1
346	2.5	1	0	1.58	11	2	2
351.001	2.5	0	3	1.06	7	2	1
356	2.5	0	3	1.03	7	2	2
361.002	2.5	0	3	0.98	12	2	1
366.002	2.5	0	3	1.32	12	2	2
371	2.5	0	3	0.89	6	1	1
376	2.5	0	3	0.83	6	1	2
381	2.5	0	3	1.25	9	2	1
386	2.5	0	3	1.2	9	2	2
391	2.5	0	3	0.98	8	2	1
396.001	2.5	0	3	1.08	8	2	2
401.003	2.5	0	3	1.24	9	2	1
406.002	2.5	0	3	1.45	9	2	2
