onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	1	0	2.4	5	1	1
6	2.5	0	3	2.2	5	1	2
11	2.5	0	3	2.58	11	2	1
16	2.5	0	3	2.5	11	2	2
31	2.5	0	3	2.39	12	2	1
36.001	2.5	0	3	2.34	12	2	2
41	2.5	0	3	2.39	7	2	1
46	2.5	0	3	2.59	7	2	2
51	2.5	0	3	1.74	6	1	1
56.002	2.5	0	3	2.06	6	1	2
61	2.5	0	3	2.62	4	1	1
66.002	2.5	0	3	2.25	4	1	2
71.001	2.5	0	3	2.78	9	2	1
76.002	2.5	1	0	0	9	2	2
81.374	2.5	0	3	2.35	8	2	1
86.09	2.5	0	3	2.55	8	2	2
91.001	2.5	0	3	2.72	5	1	1
96	2.5	0	3	2.74	5	1	2
101.187	2.5	0	3	2.19	11	2	1
106.017	2.5	0	3	2.69	11	2	2
111.001	2.5	0	3	2.73	11	2	1
116	2.5	0	3	1.94	11	2	2
121	2.5	0	3	2.14	4	1	1
126	2.5	0	3	2.66	4	1	2
131	2.5	0	3	2.63	9	2	1
136	2.5	0	3	2.28	9	2	2
141	2.5	1	0	2.55	3	1	1
146.134	2.5	0	3	2.41	3	1	2
151.001	2.5	0	3	2.58	5	1	1
156	2.5	0	3	2.76	5	1	2
171.003	2.5	1	0	0	2	1	1
176.397	2.5	0	3	2.31	2	1	2
181.172	2.5	0	3	2.45	3	1	1
186.001	2.5	0	3	2.63	3	1	2
191	2.5	0	3	2.74	10	2	1
196.002	2.5	0	3	2.88	10	2	2
201	2.5	0	3	2.93	1	1	1
206.05	2.5	0	3	2.77	1	1	2
211.078	2.5	0	3	2.67	8	2	1
216	2.5	0	3	2.75	8	2	2
231	2.5	0	3	2.76	1	1	1
236.172	2.5	0	3	2.5	1	1	2
241.081	2.5	0	3	2.36	8	2	1
246.085	2.5	0	3	2.6	8	2	2
251.001	2.5	0	3	2.72	12	2	1
256	2.5	0	3	2.67	12	2	2
261	2.5	0	3	2.76	2	1	1
266.108	2.5	0	3	2.45	2	1	2
271.004	2.5	0	3	2.58	3	1	1
276.175	2.5	0	3	2.72	3	1	2
281.126	2.5	0	3	2.5	4	1	1
286.106	2.5	0	3	2.46	4	1	2
291.001	2.5	0	3	2.88	10	2	1
296.024	2.5	0	3	2.43	10	2	2
301	2.5	0	3	2.63	7	2	1
306	2.5	0	3	2.02	7	2	2
311	2.5	0	3	2.58	12	2	1
316.039	2.5	0	3	2.37	12	2	2
321	2.5	0	3	2.22	6	1	1
326	2.5	0	3	2.74	6	1	2
331	2.5	0	3	2.5	7	2	1
336	2.5	0	3	2.7	7	2	2
341.09	2.5	0	3	2.26	1	1	1
346	2.5	1	0	2.8	1	1	2
351.002	2.5	0	3	2.58	9	2	1
356.003	2.5	0	3	2.63	9	2	2
371.003	2.5	0	3	2.5	2	1	1
376	2.5	0	3	2.3	2	1	2
381.002	2.5	0	3	2.68	10	2	1
386	2.5	0	3	2.68	10	2	2
401.001	2.5	0	3	2.33	6	1	1
406.001	2.5	1	0	2.95	6	1	2
