onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.75	10	2	1
6.398	2.5	0	3	2.78	10	2	2
11.702	2.5	0	3	2.69	3	1	1
16.942	2.5	0	3	2.9	3	1	2
31.001	2.5	0	3	2.62	7	2	1
36.071	2.5	0	3	2.72	7	2	2
41.312	2.5	0	3	2.98	1	1	1
46.85	2.5	0	3	3.14	1	1	2
52.585	2.5	0	3	2.98	4	1	1
57.992	2.5	0	3	2.88	4	1	2
63.332	2.5	0	3	2.97	4	1	1
68.809	2.5	0	3	2.98	4	1	2
74.292	2.5	0	3	2.74	5	1	1
79.576	2.5	0	3	2.77	5	1	2
91	2.5	0	3	2.59	5	1	1
96.312	2.5	1	0	0	5	1	2
102.206	2.5	0	3	2.52	9	2	1
107.561	2.5	0	3	2.8	9	2	2
112.884	2.5	0	3	2.83	2	1	1
118.302	2.5	0	3	2.83	2	1	2
123.732	2.5	0	3	2.82	12	2	1
129.12	2.5	0	3	2.98	12	2	2
141	2.5	0	3	2.68	1	1	1
146.215	2.5	0	3	2.59	1	1	2
151.376	2.5	0	3	2.71	3	1	1
156.615	2.5	0	3	2.67	3	1	2
161.702	2.5	0	3	2.59	11	2	1
166.934	2.5	0	3	2.77	11	2	2
172.247	2.5	1	0	2.87	2	1	1
177.683	2.5	0	3	2.77	2	1	2
182.994	2.5	0	3	2.67	2	1	1
188.291	2.5	0	3	2.63	2	1	2
193.48	2.5	0	3	2.8	7	2	1
198.966	2.5	0	3	2.74	7	2	2
204.4	2.5	0	3	2.81	3	1	1
209.691	2.5	0	3	2.84	3	1	2
215.105	2.5	0	3	2.89	6	1	1
220.665	2.5	0	3	2.9	6	1	2
226.107	2.5	0	3	2.82	1	1	1
231.553	2.5	0	3	2.85	1	1	2
236.986	2.5	0	3	2.69	6	1	1
242.304	2.5	0	3	2.84	6	1	2
247.738	2.5	0	3	2.81	12	2	1
253.13	2.5	0	3	3.07	12	2	2
261.002	2.5	0	3	2.97	8	2	1
266.572	2.5	0	3	3.02	8	2	2
272.223	2.5	0	3	2.68	5	1	1
277.494	2.5	0	3	2.64	5	1	2
282.759	2.5	0	3	2.83	7	2	1
288.129	2.5	0	3	2.87	7	2	2
293.599	2.5	0	3	2.8	9	2	1
299.087	2.5	0	3	2.95	9	2	2
304.641	2.5	0	3	2.78	11	2	1
310.15	2.5	0	3	2.93	11	2	2
315.647	2.5	0	3	2.9	8	2	1
321.241	2.5	0	3	2.75	8	2	2
326.581	2.5	0	3	2.78	6	1	1
331.977	2.5	0	3	2.71	6	1	2
341.001	2.5	0	3	2.88	12	2	1
346.482	2.5	0	3	2.85	12	2	2
352.019	2.5	0	3	2.82	8	2	1
357.505	2.5	0	3	2.75	8	2	2
362.92	2.5	0	3	2.8	11	2	1
368.437	2.5	0	3	2.86	11	2	2
373.887	2.5	0	3	2.95	10	2	1
379.568	2.5	0	3	2.86	10	2	2
385.017	2.5	0	3	2.91	10	2	1
390.498	2.5	0	3	2.97	10	2	2
396.016	2.5	0	3	2.94	9	2	1
401.534	2.5	0	3	2.47	9	2	2
407.384	2.5	0	3	2.96	4	1	1
412.961	2.5	0	3	3	4	1	2
