onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.02	12	2	1
6.001	2.5	0	3	2.04	12	2	2
11.001	2.5	0	3	1.87	1	1	1
16	2.5	0	3	1.81	1	1	2
21	2.5	0	3	2	2	1	1
26.001	2.5	0	3	1.89	2	1	2
31	2.5	0	3	1.8	1	1	1
36.001	2.5	0	3	1.87	1	1	2
51	2.5	0	3	2.14	7	2	1
56	2.5	0	3	2.29	7	2	2
61	2.5	0	3	2.2	4	1	1
66.001	2.5	0	3	2.25	4	1	2
71	2.5	0	3	2.23	3	1	1
76.001	2.5	0	3	2.03	3	1	2
81	2.5	0	3	2.24	8	2	1
86.001	2.5	0	3	2.11	8	2	2
91	2.5	0	3	2.16	10	2	1
96	2.5	0	3	2.04	10	2	2
111	2.5	0	3	1.93	10	2	1
116.001	2.5	1	0	1.56	10	2	2
129.194	2.5	0	3	1.95	2	1	1
126.001	2.5	0	3	2.09	2	1	2
131	2.5	0	3	1.92	6	1	1
136.002	2.5	0	3	1.88	6	1	2
141	2.5	0	3	2.06	5	1	1
146.001	2.5	0	3	2.21	5	1	2
151.001	2.5	0	3	2.04	4	1	1
156.001	2.5	0	3	2.28	4	1	2
161.001	2.5	0	3	2.22	7	2	1
166.002	2.5	0	3	2.11	7	2	2
171.001	2.5	0	3	1.77	3	1	1
176.001	2.5	0	3	1.99	3	1	2
181.001	2.5	0	3	1.84	11	2	1
186.001	2.5	0	3	1.84	11	2	2
191.001	2.5	0	3	2.27	5	1	1
196.001	2.5	0	3	1.74	5	1	2
201.001	2.5	0	3	2.15	6	1	1
206.001	2.5	0	3	2.12	6	1	2
211	2.5	0	3	2.19	10	2	1
216.001	2.5	0	3	2.02	10	2	2
221.001	2.5	0	3	2.16	3	1	1
226.001	2.5	0	3	1.97	3	1	2
231.001	2.5	0	3	2.09	9	2	1
236.001	2.5	0	3	1.97	9	2	2
241.002	2.5	0	3	1.91	2	1	1
246.001	2.5	0	3	1.96	2	1	2
251	2.5	0	3	2.07	12	2	1
256.001	2.5	0	3	1.88	12	2	2
261	2.5	1	0	2.65	7	2	1
266.001	2.5	1	0	2.39	7	2	2
271	2.5	1	0	0	9	2	1
276.002	2.5	0	3	1.9	9	2	2
281	2.5	0	3	1.82	1	1	1
286.001	2.5	1	0	0	1	1	2
291.001	2.5	0	3	2.09	4	1	1
296.001	2.5	0	3	2.18	4	1	2
301.001	2.5	0	3	2.18	9	2	1
306	2.5	0	3	2.06	9	2	2
321	2.5	0	3	2.11	8	2	1
326.001	2.5	0	3	2.03	8	2	2
331.002	2.5	0	3	2.15	11	2	1
336	2.5	0	3	1.9	11	2	2
341	2.5	0	3	2	5	1	1
346	2.5	0	3	2.09	5	1	2
351.001	2.5	0	3	2.06	8	2	1
356	2.5	0	3	2.2	8	2	2
361.001	2.5	0	3	2.1	12	2	1
366	2.5	0	3	2.1	12	2	2
381.001	2.5	0	3	2.01	11	2	1
386	2.5	0	3	1.88	11	2	2
401.002	2.5	0	3	1.67	6	1	1
406	2.5	0	3	2.71	6	1	2
