onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	1	0	2.35	6	1	1
6	2.5	0	3	2.62	6	1	2
21	2.5	1	0	0	8	2	1
26	2.5	1	0	2.69	8	2	2
31	2.5	1	0	2.7	1	1	1
36	2.5	0	3	2.43	1	1	2
41	2.5	0	3	2.42	12	2	1
46	2.5	0	3	3.06	12	2	2
51	2.5	0	3	2.99	2	1	1
56	2.5	0	3	2.56	2	1	2
61.001	2.5	1	0	0	11	2	1
66	2.5	0	3	2.68	11	2	2
81	2.5	0	3	2.28	6	1	1
86	2.5	0	3	2.15	6	1	2
91	2.5	0	3	2.84	12	2	1
96	2.5	0	3	2.57	12	2	2
101	2.5	0	3	2.53	2	1	1
106	2.5	0	3	2.53	2	1	2
111	2.5	0	3	2.51	8	2	1
116	2.5	0	3	2.26	8	2	2
121	2.5	0	3	1.82	5	1	1
126	2.5	0	3	2.85	5	1	2
131	2.5	0	3	2.14	5	1	1
136	2.5	0	3	1.85	5	1	2
141	2.5	1	0	2.53	3	1	1
146	2.5	0	3	2.18	3	1	2
151	2.5	0	3	2.38	7	2	1
156	2.5	1	0	0	7	2	2
161	2.5	1	0	3.82	11	2	1
166	2.5	0	3	2.94	11	2	2
171	2.5	0	3	2.4	2	1	1
176	2.5	0	3	1.38	2	1	2
181	2.5	0	3	2.16	3	1	1
186	2.5	0	3	2.18	3	1	2
191.001	2.5	0	3	1.99	5	1	1
196	2.5	0	3	1.82	5	1	2
211	2.5	1	0	2.36	10	2	1
216	2.5	0	3	2.32	10	2	2
221	2.5	0	3	2.31	1	1	1
226	2.5	0	3	2.66	1	1	2
231	2.5	0	3	1.43	10	2	1
236	2.5	0	3	2.17	10	2	2
241	2.5	0	3	2.04	6	1	1
246	2.5	0	3	3.02	6	1	2
251.001	2.5	0	3	0.9	4	1	1
256	2.5	0	3	2.49	4	1	2
261	2.5	1	0	2.73	9	2	1
266	2.5	0	3	2.39	9	2	2
281	2.5	1	0	0	9	2	1
286.002	2.5	0	3	2.08	9	2	2
291	2.5	0	3	2.33	7	2	1
296	2.5	0	3	2.36	7	2	2
301	2.5	0	3	2.54	4	1	1
306.001	2.5	1	0	0	4	1	2
311	2.5	0	3	1.8	7	2	1
316	2.5	0	3	2.09	7	2	2
321	2.5	1	0	0	1	1	1
326	2.5	0	3	2.73	1	1	2
331	2.5	0	3	2.33	3	1	1
336	2.5	0	3	1.76	3	1	2
341	2.5	0	3	1.85	11	2	1
346	2.5	1	0	2.74	11	2	2
351	2.5	1	0	0	12	2	1
356	2.5	0	3	1.84	12	2	2
371	2.5	1	0	0	10	2	1
376.001	2.5	0	3	2.58	10	2	2
381	2.5	0	3	2.23	4	1	1
386	2.5	1	0	0	4	1	2
391	2.5	1	0	0	9	2	1
396	2.5	0	3	1.84	9	2	2
401	2.5	1	0	2.07	8	2	1
406.001	2.5	1	0	2.72	8	2	2
