onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.36	6	1	1
6	2.5	0	3	2.78	6	1	2
11	2.5	0	3	2.49	8	2	1
16	2.5	0	3	3.18	8	2	2
31	2.5	0	3	2.28	9	2	1
36	2.5	0	3	2.61	9	2	2
41	2.5	0	3	2.6	7	2	1
46.093	2.5	1	0	2.93	7	2	2
61.001	2.5	0	3	2.24	11	2	1
66	2.5	0	3	2.4	11	2	2
71.001	2.5	0	3	2.07	5	1	1
76	2.5	0	3	2.85	5	1	2
81.072	2.5	1	0	0	9	2	1
86.602	2.5	0	3	2.78	9	2	2
91.487	2.5	0	3	2.81	3	1	1
96.558	2.5	0	3	2.78	3	1	2
101.65	2.5	0	3	2.82	4	1	1
106.507	2.5	0	3	2.4	4	1	2
111.001	2.5	0	3	2.78	2	1	1
116.003	2.5	0	3	3.02	2	1	2
121	2.5	0	3	3.09	7	2	1
126.049	2.5	0	3	3.1	7	2	2
131.15	2.5	0	3	3.22	4	1	1
136.117	2.5	0	3	2.99	4	1	2
141.119	2.5	0	3	2.94	12	2	1
146.36	2.5	0	3	2.84	12	2	2
151.434	2.5	0	3	2.86	3	1	1
156.54	2.5	0	3	3.17	3	1	2
171.002	2.5	0	3	2.65	2	1	1
176.2	2.5	0	3	2.55	2	1	2
181.134	2.5	0	3	2.53	10	2	1
186.226	2.5	0	3	3.38	10	2	2
191.61	2.5	0	3	2.88	12	2	1
196.56	2.5	0	3	2.94	12	2	2
201.798	2.5	0	3	2.95	1	1	1
206.836	2.5	0	3	2.31	1	1	2
211.798	2.5	0	3	2.32	7	2	1
216.434	2.5	0	3	2.91	7	2	2
221.394	2.5	0	3	2.92	3	1	1
226.216	2.5	0	3	2.92	3	1	2
231.001	2.5	0	3	2.59	11	2	1
236.268	2.5	0	3	2.49	11	2	2
241.059	2.5	0	3	2.82	10	2	1
246	2.5	0	3	2.85	10	2	2
251.001	2.5	0	3	3.09	9	2	1
256.001	2.5	0	3	2.87	9	2	2
261.22	2.5	0	3	2.9	12	2	1
266.292	2.5	0	3	3.14	12	2	2
271.221	2.5	0	3	2.81	8	2	1
276.008	2.5	1	0	3.38	8	2	2
281.184	2.5	0	3	2.78	6	1	1
286.077	2.5	0	3	3.14	6	1	2
291.428	2.5	0	3	2.87	2	1	1
296.356	2.5	0	3	2.81	2	1	2
301.384	2.5	0	3	2.21	8	2	1
306.371	2.5	0	3	3.08	8	2	2
311.212	2.5	0	3	2.64	11	2	1
316.086	2.5	0	3	3.33	11	2	2
321.081	2.5	0	3	2.93	1	1	1
326	2.5	0	3	3.07	1	1	2
331	2.5	0	3	2.9	10	2	1
336	2.5	0	3	2.7	10	2	2
341.042	2.5	0	3	2.79	5	1	1
346.144	2.5	0	3	2.77	5	1	2
351	2.5	0	3	2.96	1	1	1
356.001	2.5	1	0	0	1	1	2
371	2.5	0	3	2.49	4	1	1
376.001	2.5	0	3	2.44	4	1	2
391	2.5	0	3	2.2	5	1	1
396	2.5	0	3	2.37	5	1	2
401.001	2.5	0	3	2.16	6	1	1
406.001	2.5	0	3	3.03	6	1	2
