onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.44	9	2	1
6.273	2.5	0	3	2.34	9	2	2
11.504	2.5	0	3	2.43	8	2	1
16.739	2.5	0	3	2.63	8	2	2
22.152	2.5	0	3	2.41	2	1	1
27.632	2.5	0	3	2.53	2	1	2
32.955	2.5	0	3	2.56	12	2	1
38.378	2.5	0	3	2.47	12	2	2
43.809	2.5	0	3	2.58	12	2	1
49.122	2.5	1	0	2.8	12	2	2
54.921	2.5	0	3	2.58	7	2	1
60.312	2.5	0	3	2.63	7	2	2
65.624	2.5	0	3	2.56	11	2	1
71.058	2.5	0	3	2.08	11	2	2
76.429	2.5	0	3	2.52	10	2	1
81.791	2.5	0	3	2.46	10	2	2
91	2.5	0	3	2.47	3	1	1
96.246	2.5	0	3	2.38	3	1	2
101.509	2.5	1	0	3.08	10	2	1
107.423	2.5	0	3	2.63	10	2	2
112.81	2.5	0	3	2.58	4	1	1
118.081	2.5	0	3	2.57	4	1	2
123.421	2.5	0	3	2.41	1	1	1
128.909	2.5	0	3	2.46	1	1	2
134.253	2.5	0	3	2.43	8	2	1
139.511	2.5	0	3	2.06	8	2	2
144.857	2.5	0	3	2.25	4	1	1
150.003	2.5	0	3	2.5	4	1	2
155.318	2.5	0	3	2.48	6	1	1
160.675	2.5	0	3	2.57	6	1	2
171.002	2.5	0	3	2.45	3	1	1
176.131	2.5	0	3	2.5	3	1	2
181.468	2.5	0	3	2.61	4	1	1
186.832	2.5	1	0	2.59	4	1	2
192.005	2.5	0	3	2.46	5	1	1
197.332	2.5	0	3	2.39	5	1	2
202.497	2.5	0	3	2.33	11	2	1
207.646	2.5	0	3	2.54	11	2	2
213.009	2.5	0	3	2.66	8	2	1
218.382	2.5	1	0	0	8	2	2
224.285	2.5	0	3	2.49	2	1	1
229.627	2.5	0	3	2.44	2	1	2
234.757	2.5	0	3	2.54	1	1	1
240.179	2.5	0	3	2.63	1	1	2
245.713	2.5	0	3	2.57	5	1	1
251.04	2.5	0	3	2.49	5	1	2
256.369	2.5	0	3	2.48	11	2	1
261.761	2.5	0	3	2.53	11	2	2
267.066	2.5	0	3	2.55	6	1	1
272.381	2.5	0	3	2.67	6	1	2
277.847	2.5	0	3	2.48	5	1	1
283.023	2.5	0	3	2.58	5	1	2
291.001	2.5	0	3	2.52	9	2	1
296.327	2.5	0	3	2.51	9	2	2
301.728	2.5	0	3	2.67	7	2	1
307.19	2.5	0	3	2.54	7	2	2
312.562	2.5	0	3	2.44	1	1	1
317.924	2.5	0	3	2.35	1	1	2
323.051	2.5	0	3	2.41	9	2	1
328.199	2.5	0	3	2.4	9	2	2
341	2.5	0	3	2.47	7	2	1
346.415	2.5	1	0	0	7	2	2
352.369	2.5	0	3	2.34	6	1	1
357.464	2.5	0	3	2.41	6	1	2
362.812	2.5	0	3	2.51	2	1	1
368.279	2.5	0	3	1.83	2	1	2
381	2.5	0	3	2.45	10	2	1
386.302	2.5	0	3	2.48	10	2	2
391.558	2.5	0	3	2.66	12	2	1
397.049	2.5	0	3	2.59	12	2	2
402.579	2.5	0	3	2.5	3	1	1
408.045	2.5	0	3	2.52	3	1	2
