onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.95	12	2	1
6.001	2.5	0	3	1.4	12	2	2
11.002	2.5	0	3	1.5	3	1	1
16.001	2.5	0	3	0.9	3	1	2
31	2.5	0	3	1.29	7	2	1
36.002	2.5	0	3	1.23	7	2	2
41.001	2.5	1	0	2.28	9	2	1
46.001	2.5	0	3	1.35	9	2	2
61	2.5	1	0	1.57	3	1	1
66.001	2.5	0	3	1.12	3	1	2
71.002	2.5	0	3	1.61	6	1	1
76.001	2.5	0	3	1.4	6	1	2
81.003	2.5	0	3	1.37	8	2	1
86.001	2.5	0	3	1.36	8	2	2
91.001	2.5	0	3	1.15	3	1	1
96	2.5	1	0	1.6	3	1	2
101.003	2.5	0	3	1.19	4	1	1
1	2.5	0	3	1.53	12	2	1
6.001	2.5	0	3	1.73	12	2	2
11.001	2.5	0	3	1.04	3	1	1
16.001	2.5	0	3	0.97	3	1	2
31	2.5	0	3	1.3	7	2	1
36	2.5	0	3	1.27	7	2	2
41.002	2.5	0	3	1.45	9	2	1
46.001	2.5	1	0	1.81	9	2	2
61.003	2.5	0	3	1.08	3	1	1
66.004	2.5	0	3	1.11	3	1	2
71.004	2.5	0	3	1.35	6	1	1
76.001	2.5	0	3	1.25	6	1	2
81	2.5	0	3	1.67	8	2	1
86.001	2.5	0	3	1.28	8	2	2
91.001	2.5	1	0	1.46	3	1	1
96	2.5	0	3	0.99	3	1	2
101.001	2.5	0	3	1.21	4	1	1
106	2.5	0	3	1.06	4	1	2
111	2.5	0	3	1.45	6	1	1
116	2.5	0	3	1.75	6	1	2
121.001	2.5	0	3	1.35	9	2	1
126.001	2.5	0	3	1.2	9	2	2
131.002	2.5	0	3	1.99	5	1	1
136	2.5	0	3	1.1	5	1	2
141.001	2.5	0	3	1.29	2	1	1
146.001	2.5	0	3	1.81	2	1	2
151.001	2.5	0	3	1.13	6	1	1
156.001	2.5	0	3	1.13	6	1	2
161.002	2.5	0	3	1	4	1	1
166.002	2.5	0	3	0.85	4	1	2
181	2.5	0	3	1.46	8	2	1
186.004	2.5	0	3	1.68	8	2	2
191.001	2.5	0	3	1.44	8	2	1
196.001	2.5	0	3	1.39	8	2	2
201.002	2.5	0	3	1.3	4	1	1
206.002	2.5	0	3	0.91	4	1	2
211	2.5	0	3	1.48	11	2	1
216.001	2.5	0	3	1.59	11	2	2
221.001	2.5	0	3	1.29	9	2	1
226	2.5	0	3	1.31	9	2	2
241	2.5	1	0	1.8	1	1	1
246	2.5	0	3	1.34	1	1	2
251.001	2.5	0	3	2.64	2	1	1
256.463	2.5	0	3	1.34	2	1	2
261.003	2.5	0	3	1.46	10	2	1
266.002	2.5	0	3	1.28	10	2	2
271.002	2.5	0	3	1.51	11	2	1
276.002	2.5	0	3	1.51	11	2	2
281	2.5	0	3	1.58	1	1	1
286	2.5	1	0	2.55	1	1	2
291.569	2.5	0	3	1.88	10	2	1
296.373	2.5	1	0	1.9	10	2	2
301.118	2.5	0	3	1.55	11	2	1
306.002	2.5	0	3	1.37	11	2	2
311.001	2.5	0	3	1.84	1	1	1
316	2.5	0	3	1.56	1	1	2
331	2.5	0	3	2.48	5	1	1
336.838	2.5	1	0	1.98	5	1	2
341.466	2.5	0	3	1.53	12	2	1
346	2.5	1	0	1.8	12	2	2
351.003	2.5	0	3	1.77	7	2	1
356.002	2.5	0	3	2.24	7	2	2
361.069	2.5	0	3	1.56	10	2	1
366	2.5	0	3	1.42	10	2	2
371.001	2.5	0	3	1.79	12	2	1
376.001	2.5	0	3	1.78	12	2	2
381	2.5	0	3	1.35	7	2	1
386	2.5	0	3	1.34	7	2	2
391.001	2.5	0	3	1.68	2	1	1
396.003	2.5	0	3	1.78	2	1	2
401	2.5	0	3	2.48	5	1	1
406.814	2.5	0	3	2.01	5	1	2
