onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	2.16	9	2	1
6.001	2.5	0	3	2.63	9	2	2
11.001	2.5	0	3	2.35	8	2	1
16	2.5	0	3	2.45	8	2	2
21	2.5	0	3	2.49	2	1	1
26	2.5	0	3	2.55	2	1	2
31.002	2.5	0	3	2.68	12	2	1
36.002	2.5	0	3	2.65	12	2	2
41	2.5	0	3	2.56	12	2	1
46.001	2.5	0	3	2.72	12	2	2
51.001	2.5	0	3	2.57	7	2	1
56.001	2.5	0	3	2.6	7	2	2
61	2.5	0	3	2.59	11	2	1
66.001	2.5	1	0	2.87	11	2	2
71	2.5	0	3	2.53	10	2	1
76.001	2.5	0	3	2.9	10	2	2
91.001	2.5	0	3	2.45	3	1	1
96	2.5	0	3	2.89	3	1	2
101.001	2.5	0	3	2.68	10	2	1
106.001	2.5	0	3	2.59	10	2	2
111	2.5	0	3	2.64	4	1	1
116.001	2.5	0	3	2.57	4	1	2
121.001	2.5	0	3	2.6	1	1	1
126	2.5	0	3	2.6	1	1	2
131	2.5	0	3	2.55	8	2	1
136	2.5	0	3	2.52	8	2	2
141	2.5	0	3	2.62	4	1	1
146.001	2.5	0	3	2.8	4	1	2
151	2.5	0	3	2.48	6	1	1
156	2.5	0	3	2.64	6	1	2
171	2.5	0	3	2.48	3	1	1
176.001	2.5	0	3	2.71	3	1	2
181.001	2.5	0	3	2.6	4	1	1
186	2.5	0	3	2.46	4	1	2
191	2.5	0	3	2.46	5	1	1
196	2.5	0	3	2.62	5	1	2
201	2.5	0	3	2.6	11	2	1
206	2.5	0	3	2.51	11	2	2
211	2.5	0	3	2.48	8	2	1
216	2.5	0	3	2.42	8	2	2
221	2.5	0	3	2.95	2	1	1
226.002	2.5	0	3	2.46	2	1	2
231.001	2.5	0	3	2.83	1	1	1
236.001	2.5	0	3	2.48	1	1	2
241	2.5	0	3	2.57	5	1	1
246	2.5	0	3	2.4	5	1	2
251	2.5	0	3	2.59	11	2	1
256	2.5	0	3	2.59	11	2	2
261.002	2.5	0	3	2.46	6	1	1
266	2.5	0	3	2.55	6	1	2
271	2.5	0	3	2.51	5	1	1
276	2.5	0	3	2.7	5	1	2
291.001	2.5	0	3	2.52	9	2	1
296	2.5	0	3	2.62	9	2	2
301	2.5	0	3	2.59	7	2	1
306.002	2.5	1	0	2.9	7	2	2
311.001	2.5	0	3	2.51	1	1	1
316.001	2.5	0	3	2.64	1	1	2
321.001	2.5	0	3	2.4	9	2	1
326.001	2.5	0	3	2.67	9	2	2
341.001	2.5	0	3	2.54	7	2	1
346.001	2.5	0	3	3.39	7	2	2
351.001	2.5	0	3	2.6	6	1	1
356.001	2.5	0	3	2.49	6	1	2
361	2.5	0	3	2.59	2	1	1
366	2.5	0	3	2.63	2	1	2
381.001	2.5	0	3	2.5	10	2	1
386.001	2.5	0	3	2.4	10	2	2
391.001	2.5	0	3	2.65	12	2	1
396	2.5	0	3	2.57	12	2	2
401.001	2.5	0	3	2.6	3	1	1
406.001	2.5	0	3	2.64	3	1	2
