onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.22	12	2	1
6.002	2.5	0	3	2.04	12	2	2
11	2.5	0	3	1.93	3	1	1
16.002	2.5	0	3	1.8	3	1	2
31	2.5	1	0	2.89	7	2	1
36.846	2.5	0	3	2.17	7	2	2
41.666	2.5	0	3	2.12	9	2	1
46.368	2.5	0	3	2.25	9	2	2
61	2.5	0	3	1.84	3	1	1
66.001	2.5	0	3	1.88	3	1	2
71.001	2.5	0	3	1.91	6	1	1
76	2.5	0	3	1.82	6	1	2
81.002	2.5	0	3	2.36	8	2	1
86.396	2.5	0	3	2.32	8	2	2
91.865	2.5	0	3	2.1	3	1	1
96.563	2.5	0	3	1.83	3	1	2
101.25	2.5	0	3	1.98	4	1	1
106.001	2.5	0	3	1.96	4	1	2
111	2.5	0	3	1.89	6	1	1
116.001	2.5	0	3	1.85	6	1	2
121.002	2.5	0	3	1.99	9	2	1
126.001	2.5	0	3	2.05	9	2	2
131.003	2.5	0	3	1.75	5	1	1
136.001	2.5	0	3	1.83	5	1	2
141.002	2.5	0	3	1.81	2	1	1
146.002	2.5	0	3	1.77	2	1	2
151.001	2.5	0	3	1.44	6	1	1
156	2.5	0	3	2.32	6	1	2
161.001	2.5	0	3	2.06	4	1	1
166.001	2.5	0	3	2	4	1	2
181	2.5	0	3	2.03	8	2	1
186.002	2.5	0	3	1.96	8	2	2
191.002	2.5	0	3	1.86	8	2	1
196.004	2.5	0	3	1.95	8	2	2
201.001	2.5	0	3	2.04	4	1	1
206.003	2.5	0	3	1.9	4	1	2
211.002	2.5	0	3	2.31	11	2	1
216	2.5	0	3	1.98	11	2	2
221	2.5	0	3	1.88	9	2	1
226.001	2.5	0	3	1.78	9	2	2
241.002	2.5	0	3	2.03	1	1	1
246.001	2.5	0	3	1.83	1	1	2
251.001	2.5	0	3	1.98	2	1	1
256.001	2.5	0	3	2.02	2	1	2
261.002	2.5	0	3	2.16	10	2	1
266.001	2.5	0	3	2.13	10	2	2
271	2.5	0	3	1.97	11	2	1
276	2.5	0	3	2.03	11	2	2
281	2.5	0	3	1.96	1	1	1
286.002	2.5	0	3	1.91	1	1	2
291	2.5	0	3	1.86	10	2	1
296.001	2.5	0	3	2.26	10	2	2
301.188	2.5	0	3	2.2	11	2	1
306	2.5	0	3	2.04	11	2	2
311	2.5	0	3	1.92	1	1	1
316.003	2.5	0	3	2.27	1	1	2
331.002	2.5	0	3	1.97	5	1	1
336.002	2.5	0	3	2.41	5	1	2
341.33	2.5	0	3	2.36	12	2	1
346.41	2.5	0	3	2.55	12	2	2
351.857	2.5	0	3	2.52	7	2	1
357.127	2.5	0	3	2.2	7	2	2
362.144	2.5	0	3	2.24	10	2	1
367.143	2.5	1	0	0	10	2	2
373.043	2.5	0	3	2.46	12	2	1
378.365	2.5	0	3	2.57	12	2	2
383.787	2.5	0	3	2.15	7	2	1
388.716	2.5	0	3	2.19	7	2	2
393.672	2.5	0	3	2.11	2	1	1
398.544	2.5	0	3	2.02	2	1	2
403.308	2.5	0	3	2.22	5	1	1
408.179	2.5	0	3	2.03	5	1	2
