onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.51	3	1	1
6	2.5	0	3	1.35	3	1	2
11.002	2.5	0	3	1.81	9	2	1
16.002	2.5	0	3	1.72	9	2	2
31	2.5	0	3	1.97	10	2	1
36.001	2.5	0	3	1.89	10	2	2
41	2.5	0	3	1.97	7	2	1
46.004	2.5	0	3	2.03	7	2	2
51.001	2.5	0	3	1.13	4	1	1
56.002	2.5	0	3	0.96	4	1	2
61.003	2.5	0	3	2.5	11	2	1
66.001	2.5	0	3	2.17	11	2	2
71	2.5	0	3	1.23	2	1	1
76	2.5	0	3	1.19	2	1	2
81	2.5	0	3	1.06	2	1	1
86.001	2.5	0	3	1.09	2	1	2
91	2.5	0	3	1.08	2	1	1
96.002	2.5	0	3	1.05	2	1	2
101.001	2.5	1	0	1.73	1	1	1
106	2.5	0	3	1.34	1	1	2
111.002	2.5	0	3	2.17	8	2	1
116	2.5	0	3	2.13	8	2	2
121.001	2.5	0	3	2.27	12	2	1
126	2.5	0	3	1.86	12	2	2
131.002	2.5	1	0	2.2	10	2	1
136	2.5	1	0	2.41	10	2	2
141.003	2.5	0	3	2.1	12	2	1
146.001	2.5	0	3	2.24	12	2	2
151	2.5	0	3	1.93	9	2	1
156	2.5	0	3	2.05	9	2	2
161.003	2.5	0	3	1.06	4	1	1
166.001	2.5	1	0	1.03	4	1	2
171	2.5	0	3	2.56	7	2	1
176.002	2.5	1	0	1.57	7	2	2
181.003	2.5	0	3	2.29	8	2	1
186.002	2.5	0	3	2.2	8	2	2
201.001	2.5	0	3	2.17	7	2	1
206	2.5	0	3	2.1	7	2	2
211	2.5	1	0	2.74	10	2	1
216.097	2.5	0	3	2.06	10	2	2
221	2.5	0	3	1.74	6	1	1
226	2.5	0	3	1.42	6	1	2
231.002	2.5	0	3	1.46	6	1	1
236.001	2.5	0	3	1.37	6	1	2
241.001	2.5	0	3	1.2	1	1	1
246.001	2.5	0	3	1.33	1	1	2
251.002	2.5	0	3	2.21	11	2	1
256.001	2.5	0	3	1.97	11	2	2
271.002	2.5	0	3	1.65	3	1	1
276	2.5	0	3	1.32	3	1	2
281.002	2.5	0	3	2.38	11	2	1
286	2.5	0	3	2.62	11	2	2
291.023	2.5	0	3	1.16	3	1	1
296.002	2.5	0	3	1.31	3	1	2
301	2.5	0	3	1.6	4	1	1
306	2.5	0	3	1.91	4	1	2
321	2.5	0	3	1.45	1	1	1
326.001	2.5	0	3	1.5	1	1	2
331.003	2.5	0	3	2.06	6	1	1
336.002	2.5	0	3	1.32	6	1	2
351.001	2.5	0	3	2.06	8	2	1
356	2.5	0	3	2.59	8	2	2
361.041	2.5	1	0	1.45	9	2	1
366	2.5	0	3	2.11	9	2	2
371	2.5	0	3	1.75	5	1	1
376.002	2.5	0	3	1.81	5	1	2
381.001	2.5	0	3	1.36	5	1	1
386.001	2.5	0	3	1.8	5	1	2
391.001	2.5	0	3	1.61	5	1	1
396.001	2.5	0	3	1.35	5	1	2
401	2.5	1	0	2.62	12	2	1
406.001	2.5	0	3	1.98	12	2	2
