onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.22	5	1	1
6.001	2.5	0	3	2.36	5	1	2
21	2.5	0	3	2.4	5	1	1
26.003	2.5	0	3	3.33	5	1	2
31.002	2.5	0	3	2.59	6	1	1
36.001	2.5	0	3	2.75	6	1	2
41.056	2.5	0	3	2.6	12	2	1
46.001	2.5	0	3	2.71	12	2	2
51.003	2.5	0	3	2.48	4	1	1
56.001	2.5	1	0	2.98	4	1	2
71.002	2.5	0	3	2.45	1	1	1
76	2.5	0	3	2.28	1	1	2
81	2.5	1	0	2.86	2	1	1
86	2.5	0	3	2.31	2	1	2
91	2.5	1	0	2.84	3	1	1
96.079	2.5	0	3	2.23	3	1	2
101	2.5	0	3	2.52	4	1	1
106.001	2.5	1	0	0	4	1	2
111.599	2.5	1	0	2.91	11	2	1
116.811	2.5	0	3	2.59	11	2	2
121.601	2.5	1	0	2.74	6	1	1
126.549	2.5	0	3	2.48	6	1	2
141	2.5	0	3	2.7	8	2	1
146.033	2.5	0	3	2.43	8	2	2
161	2.5	0	3	2.56	9	2	1
166	2.5	1	0	2.37	9	2	2
171	2.5	1	0	2.49	11	2	1
176.003	2.5	1	0	2.64	11	2	2
181.142	2.5	0	3	2.58	3	1	1
186.047	2.5	0	3	2.33	3	1	2
201	2.5	0	3	2.56	1	1	1
206	2.5	0	3	2.44	1	1	2
211	2.5	0	3	2.51	10	2	1
216.002	2.5	0	3	2.53	10	2	2
221.001	2.5	0	3	2.54	8	2	1
226	2.5	0	3	2.45	8	2	2
231	2.5	1	0	2.95	7	2	1
236.06	2.5	0	3	2.62	7	2	2
241.001	2.5	0	3	2.71	7	2	1
246.001	2.5	0	3	2.39	7	2	2
251.003	2.5	0	3	2.37	2	1	1
256	2.5	0	3	3.43	2	1	2
261.002	2.5	0	3	2.46	6	1	1
266.002	2.5	0	3	2.37	6	1	2
271.001	2.5	0	3	2.57	10	2	1
276	2.5	0	3	2.32	10	2	2
281.003	2.5	0	3	2.46	5	1	1
286	2.5	0	3	2.73	5	1	2
291.074	2.5	0	3	2.42	2	1	1
296	2.5	0	3	2.33	2	1	2
301	2.5	0	3	2.56	11	2	1
306	2.5	0	3	2.9	11	2	2
311	2.5	0	3	2.57	3	1	1
316	2.5	0	3	2.33	3	1	2
321	2.5	0	3	2.79	4	1	1
326.012	2.5	0	3	2.66	4	1	2
331.001	2.5	0	3	2.85	9	2	1
336	2.5	0	3	2.65	9	2	2
341.002	2.5	0	3	2.56	9	2	1
346.003	2.5	0	3	2.41	9	2	2
351.001	2.5	0	3	2.65	12	2	1
356	2.5	0	3	3.04	12	2	2
361.04	2.5	0	3	2.7	10	2	1
366.004	2.5	0	3	2.58	10	2	2
371.001	2.5	0	3	2.56	8	2	1
376.002	2.5	0	3	2.87	8	2	2
381.162	2.5	1	0	2.77	1	1	1
386.193	2.5	0	3	2.63	1	1	2
391.132	2.5	1	0	3.03	7	2	1
396.417	2.5	1	0	2.9	7	2	2
401.635	2.5	0	3	2.78	12	2	1
406.748	2.5	0	3	2.85	12	2	2
