onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	1.93	12	2	1
6	2.5	0	3	1.73	12	2	2
11.002	2.5	0	3	1.52	3	1	1
16	2.5	0	3	1.57	3	1	2
21	2.5	0	3	1.4	6	1	1
26.001	2.5	0	3	1.46	6	1	2
31.001	2.5	0	3	1.63	11	2	1
36	2.5	0	3	1.63	11	2	2
41	2.5	0	3	1.81	7	2	1
46	2.5	0	3	1.72	7	2	2
51.001	2.5	0	3	1.65	1	1	1
56	2.5	0	3	1.58	1	1	2
61.003	2.5	0	3	1.67	8	2	1
66.001	2.5	0	3	1.79	8	2	2
81.001	2.5	0	3	1.8	10	2	1
86	2.5	0	3	1.76	10	2	2
91	2.5	0	3	1.67	5	1	1
96	2.5	1	0	1.79	5	1	2
101	2.5	0	3	1.69	11	2	1
106	2.5	0	3	1.79	11	2	2
111	2.5	0	3	1.58	3	1	1
116.003	2.5	0	3	1.61	3	1	2
131	2.5	0	3	1.64	10	2	1
136	2.5	0	3	1.59	10	2	2
141	2.5	0	3	1.48	10	2	1
146	2.5	0	3	1.44	10	2	2
151	2.5	0	3	1.66	6	1	1
156	2.5	0	3	1.55	6	1	2
171.002	2.5	0	3	1.42	4	1	1
176	2.5	0	3	1.35	4	1	2
181	2.5	0	3	1.35	4	1	1
186	2.5	0	3	1.31	4	1	2
191	2.5	0	3	2	7	2	1
196.001	2.5	0	3	1.72	7	2	2
201	2.5	0	3	1.66	11	2	1
206	2.5	0	3	1.66	11	2	2
211	2.5	1	0	1.7	12	2	1
216	2.5	0	3	1.94	12	2	2
221	2.5	0	3	1.75	2	1	1
226	2.5	0	3	1.61	2	1	2
231	2.5	0	3	1.73	7	2	1
236.001	2.5	0	3	1.63	7	2	2
241	2.5	0	3	1.58	9	2	1
246	2.5	1	0	0	9	2	2
251.565	2.5	0	3	1.54	1	1	1
256.001	2.5	0	3	1.53	1	1	2
261.001	2.5	0	3	1.47	4	1	1
266	2.5	0	3	1.44	4	1	2
271	2.5	0	3	1.5	12	2	1
276	2.5	0	3	1.67	12	2	2
281	2.5	0	3	1.59	2	1	1
286	2.5	0	3	1.52	2	1	2
291	2.5	0	3	1.99	8	2	1
296.001	2.5	0	3	1.58	8	2	2
301	2.5	1	0	1.58	9	2	1
306.001	2.5	0	3	2.33	9	2	2
321.002	2.5	0	3	1.51	5	1	1
326	2.5	0	3	1.43	5	1	2
341.001	2.5	0	3	1.52	1	1	1
346.001	2.5	0	3	1.83	1	1	2
351	2.5	0	3	1.47	2	1	1
356	2.5	0	3	1.6	2	1	2
361	2.5	0	3	1.49	3	1	1
366	2.5	0	3	1.59	3	1	2
371.001	2.5	0	3	1.95	9	2	1
376.002	2.5	1	0	1.63	9	2	2
381	2.5	1	0	1.33	5	1	1
386	2.5	0	3	1.9	5	1	2
391.001	2.5	0	3	1.93	6	1	1
396.001	2.5	0	3	1.8	6	1	2
401.001	2.5	0	3	2.14	8	2	1
406	2.5	0	3	2.04	8	2	2
