onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	3	3	1	1
6.129	2.5	1	0	2.92	3	1	2
11	2.5	0	3	2.52	9	2	1
16.001	2.5	0	3	2.43	9	2	2
31.002	2.5	0	3	2.46	10	2	1
36.003	2.5	0	3	2.72	10	2	2
41.001	2.5	1	0	3.18	7	2	1
46.188	2.5	0	3	2.29	7	2	2
51.001	2.5	0	3	2.85	4	1	1
56.002	2.5	1	0	3.38	4	1	2
61.719	2.5	1	0	2.7	11	2	1
66.563	2.5	0	3	3	11	2	2
71.39	2.5	0	3	2.42	2	1	1
76.137	2.5	1	0	2.95	2	1	2
81.093	2.5	0	3	2.48	2	1	1
86	2.5	0	3	2.27	2	1	2
91.001	2.5	0	3	2.09	2	1	1
96.001	2.5	1	0	3.32	2	1	2
101.299	2.5	0	3	2.3	1	1	1
106.001	2.5	0	3	2.64	1	1	2
111	2.5	0	3	2.67	8	2	1
116.001	2.5	1	0	3.75	8	2	2
121.586	2.5	1	0	3.08	12	2	1
126.669	2.5	0	3	2.65	12	2	2
131.443	2.5	0	3	2.93	10	2	1
136.829	2.5	0	3	2.51	10	2	2
141.237	2.5	0	3	2.76	12	2	1
146.001	2.5	0	3	2.29	12	2	2
151.002	2.5	0	3	2.7	9	2	1
156.001	2.5	0	3	2.86	9	2	2
161.002	2.5	0	3	3.4	4	1	1
166.572	2.5	0	3	2.58	4	1	2
171.001	2.5	1	0	2.92	7	2	1
176.001	2.5	1	0	2.98	7	2	2
181.002	2.5	0	3	2.82	8	2	1
186	2.5	0	3	3.48	8	2	2
201	2.5	0	3	2.78	7	2	1
206.003	2.5	0	3	2.66	7	2	2
211.002	2.5	0	3	2.74	10	2	1
216.001	2.5	1	0	2.45	10	2	2
221.002	2.5	0	3	3.6	6	1	1
226.792	2.5	0	3	2.81	6	1	2
231.381	2.5	0	3	2.55	6	1	1
236	2.5	0	3	3.21	6	1	2
241.125	2.5	0	3	2.65	1	1	1
246.001	2.5	0	3	2.41	1	1	2
251.001	2.5	1	0	2.99	11	2	1
256	2.5	0	3	2.26	11	2	2
271.002	2.5	1	0	3.33	3	1	1
276.38	2.5	1	0	3.21	3	1	2
281.341	2.5	1	0	2.69	11	2	1
286	2.5	0	3	2.57	11	2	2
291.001	2.5	0	3	2.89	3	1	1
296.001	2.5	1	0	3.11	3	1	2
301.125	2.5	1	0	3.03	4	1	1
306.319	2.5	1	0	3.12	4	1	2
321.001	2.5	1	0	2.67	1	1	1
326	2.5	1	0	2.18	1	1	2
331.001	2.5	0	3	2.73	6	1	1
336.002	2.5	0	3	2.66	6	1	2
351.001	2.5	0	3	2.37	8	2	1
356	2.5	1	0	2.9	8	2	2
361.002	2.5	1	0	3.16	9	2	1
366.927	2.5	1	0	2.92	9	2	2
371.863	2.5	1	0	2.55	5	1	1
376.3	2.5	0	3	2.87	5	1	2
381.016	2.5	0	3	2.5	5	1	1
386	2.5	1	0	2.94	5	1	2
391.002	2.5	0	3	2.34	5	1	1
396.003	2.5	1	0	3.17	5	1	2
401.179	2.5	1	0	3.25	12	2	1
406.789	2.5	1	0	2.63	12	2	2
