onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	2.26	12	2	1
6.35	2.5	1	0	0	12	2	2
11.912	2.5	0	3	2.26	1	1	1
16.451	2.5	0	3	2.54	1	1	2
21.256	2.5	0	3	2.48	2	1	1
26.086	2.5	0	3	2.93	2	1	2
31.324	2.5	0	3	2.27	1	1	1
36.002	2.5	0	3	2.05	1	1	2
51	2.5	0	3	2.41	7	2	1
56	2.5	0	3	1.89	7	2	2
61	2.5	0	3	2.29	4	1	1
66	2.5	0	3	2.6	4	1	2
71.001	2.5	0	3	2.7	3	1	1
76.22	2.5	1	0	0	3	1	2
81.773	2.5	0	3	2.4	8	2	1
86.88	2.5	0	3	2.71	8	2	2
91.932	2.5	0	3	2.38	10	2	1
96.522	2.5	0	3	2.59	10	2	2
111	2.5	0	3	2.55	10	2	1
116.001	2.5	0	3	3.08	10	2	2
121	2.5	1	0	0	2	1	1
126.514	2.5	0	3	2.27	2	1	2
131.054	2.5	0	3	1.85	6	1	1
136	2.5	0	3	2.36	6	1	2
141.001	2.5	0	3	3	5	1	1
146.311	2.5	0	3	2.27	5	1	2
151.001	2.5	0	3	2.48	4	1	1
156	2.5	0	3	2.45	4	1	2
161	2.5	0	3	2.23	7	2	1
166	2.5	0	3	1.99	7	2	2
171.001	2.5	0	3	2.28	3	1	1
176.001	2.5	0	3	2.4	3	1	2
181.005	2.5	0	3	2.22	11	2	1
186	2.5	0	3	2.53	11	2	2
191.001	2.5	0	3	2.69	5	1	1
196.003	2.5	0	3	2.58	5	1	2
201	2.5	0	3	1.94	6	1	1
206.002	2.5	0	3	1.75	6	1	2
211	2.5	0	3	2.4	10	2	1
216	2.5	0	3	2.64	10	2	2
221	2.5	0	3	2.23	3	1	1
226.001	2.5	0	3	2.22	3	1	2
231.332	2.5	0	3	2.25	9	2	1
236.183	2.5	0	3	2.48	9	2	2
241.182	2.5	0	3	2.52	2	1	1
246.002	2.5	0	3	2.49	2	1	2
251.001	2.5	0	3	2.28	12	2	1
256.001	2.5	0	3	2.49	12	2	2
261.003	2.5	0	3	2.54	7	2	1
266	2.5	0	3	1.77	7	2	2
271	2.5	0	3	2.51	9	2	1
276	2.5	0	3	2.77	9	2	2
281.036	2.5	0	3	2.51	1	1	1
286.208	2.5	0	3	2.34	1	1	2
291.242	2.5	0	3	2.5	4	1	1
296.002	2.5	0	3	2.28	4	1	2
301.001	2.5	0	3	2.37	9	2	1
306.001	2.5	0	3	2.72	9	2	2
321	2.5	0	3	2.06	8	2	1
326	2.5	0	3	2.47	8	2	2
331.001	2.5	0	3	1.92	11	2	1
336	2.5	0	3	1.91	11	2	2
341	2.5	1	0	0	5	1	1
346.492	2.5	0	3	2.4	5	1	2
351.029	2.5	0	3	2.71	8	2	1
356.325	2.5	0	3	2.34	8	2	2
361.86	2.5	0	3	2.22	12	2	1
366.386	2.5	0	3	2.41	12	2	2
381	2.5	0	3	2.23	11	2	1
386.002	2.5	0	3	1.85	11	2	2
401	2.5	0	3	2.18	6	1	1
406.003	2.5	0	3	3.05	6	1	2
