onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.59	6	1	1
6.001	2.5	0	3	2.64	6	1	2
11.001	2.5	0	3	2.53	5	1	1
16.001	2.5	0	3	2.48	5	1	2
21	2.5	0	3	2.42	8	2	1
26.001	2.5	0	3	2.45	8	2	2
31	2.5	0	3	2.57	7	2	1
36.001	2.5	0	3	2.8	7	2	2
51	2.5	0	3	2.56	7	2	1
56.001	2.5	0	3	2.5	7	2	2
61	2.5	0	3	2.45	5	1	1
66	2.5	0	3	2.47	5	1	2
71.002	2.5	0	3	2.51	10	2	1
76.002	2.5	0	3	2.57	10	2	2
81.001	2.5	0	3	2.37	9	2	1
86.001	2.5	0	3	2.43	9	2	2
91.001	2.5	0	3	2.4	1	1	1
96	2.5	1	0	2.46	1	1	2
101	2.5	0	3	2.52	3	1	1
106.001	2.5	0	3	2.54	3	1	2
121	2.5	0	3	2.6	11	2	1
126.001	2.5	0	3	2.66	11	2	2
131	2.5	0	3	2.66	11	2	1
136.001	2.5	0	3	2.69	11	2	2
141	2.5	0	3	2.47	5	1	1
146.001	2.5	0	3	2.59	5	1	2
151	2.5	0	3	2.48	9	2	1
156	2.5	1	0	2.36	9	2	2
171.002	2.5	0	3	2.59	6	1	1
176	2.5	0	3	2.49	6	1	2
181	2.5	0	3	2.57	12	2	1
186.001	2.5	0	3	2.63	12	2	2
191.001	2.5	0	3	2.33	3	1	1
196	2.5	0	3	2.63	3	1	2
201.002	2.5	0	3	2.53	2	1	1
206.001	2.5	0	3	2.67	2	1	2
211	2.5	0	3	2.42	9	2	1
216	2.5	0	3	2.49	9	2	2
221.002	2.5	0	3	2.57	4	1	1
226.001	2.5	0	3	2.75	4	1	2
231.001	2.5	0	3	2.7	11	2	1
236.001	2.5	0	3	2.65	11	2	2
241.001	2.5	0	3	2.54	2	1	1
246	2.5	0	3	2.37	2	1	2
251.001	2.5	0	3	2.49	3	1	1
256.001	2.5	0	3	2.57	3	1	2
261	2.5	1	0	2.5	10	2	1
266.002	2.5	0	3	2.59	10	2	2
271.001	2.5	0	3	2.49	10	2	1
276.001	2.5	0	3	2.53	10	2	2
281	2.5	0	3	2.69	1	1	1
286	2.5	0	3	2.49	1	1	2
291	2.5	0	3	2.6	12	2	1
296.001	2.5	0	3	2.45	12	2	2
301.001	2.5	0	3	2.62	4	1	1
306.001	2.5	0	3	2.34	4	1	2
311.001	2.5	1	0	2.49	12	2	1
316.001	2.5	0	3	2.54	12	2	2
331	2.5	0	3	2.79	6	1	1
336.001	2.5	0	3	2.58	6	1	2
341	2.5	0	3	2.74	4	1	1
346.001	2.5	0	3	2.52	4	1	2
351	2.5	0	3	2.57	7	2	1
356	2.5	0	3	2.6	7	2	2
361.001	2.5	0	3	2.33	8	2	1
366.001	2.5	0	3	2.52	8	2	2
371.002	2.5	0	3	2.59	2	1	1
376.002	2.5	0	3	2.58	2	1	2
391.001	2.5	0	3	2.65	1	1	1
396.002	2.5	0	3	2.57	1	1	2
401.001	2.5	0	3	2.3	8	2	1
406	2.5	0	3	2.38	8	2	2
