onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.21	3	1	1
6	2.5	1	0	1.44	3	1	2
21	2.5	0	3	1.03	8	2	1
26.001	2.5	0	3	0.99	8	2	2
31.001	2.5	0	3	0.96	5	1	1
36	2.5	0	3	0.89	5	1	2
41	2.5	0	3	0.98	5	1	1
46	2.5	0	3	0.93	5	1	2
51	2.5	0	3	1.02	6	1	1
56.002	2.5	0	3	1.12	6	1	2
61.002	2.5	1	0	1.42	11	2	1
66	2.5	1	0	1.08	11	2	2
71	2.5	0	3	1.15	12	2	1
76.001	2.5	0	3	1.22	12	2	2
81	2.5	0	3	1.15	8	2	1
86	2.5	0	3	1.06	8	2	2
91.001	2.5	0	3	1.06	12	2	1
96.001	2.5	0	3	0.98	12	2	2
101	2.5	1	0	1.44	3	1	1
106	2.5	0	3	1.34	3	1	2
111.001	2.5	0	3	1.13	4	1	1
116.002	2.5	0	3	1.15	4	1	2
131.001	2.5	0	3	1.05	12	2	1
136.001	2.5	0	3	1.04	12	2	2
141.001	2.5	0	3	1.12	9	2	1
146.001	2.5	0	3	1.09	9	2	2
151.001	2.5	0	3	1.01	2	1	1
156	2.5	0	3	1	2	1	2
161.002	2.5	0	3	1.07	6	1	1
166.001	2.5	0	3	0.96	6	1	2
171	2.5	0	3	0.95	7	2	1
176.001	2.5	0	3	0.94	7	2	2
181.002	2.5	0	3	1.01	2	1	1
186	2.5	0	3	1.04	2	1	2
191.001	2.5	0	3	1.19	11	2	1
196	2.5	0	3	1.14	11	2	2
201.001	2.5	0	3	1.05	4	1	1
206	2.5	0	3	1.03	4	1	2
221.001	2.5	0	3	1.13	9	2	1
226.003	2.5	0	3	1.08	9	2	2
231.001	2.5	0	3	1.02	10	2	1
236.001	2.5	0	3	1.15	10	2	2
241.002	2.5	0	3	1	1	1	1
246	2.5	1	0	1.5	1	1	2
251	2.5	0	3	1.09	3	1	1
256.001	2.5	0	3	1.17	3	1	2
261	2.5	0	3	1.05	8	2	1
266	2.5	0	3	1.07	8	2	2
271.001	2.5	0	3	1.07	7	2	1
276	2.5	0	3	1.12	7	2	2
281.002	2.5	0	3	1.03	9	2	1
286	2.5	0	3	1.07	9	2	2
291.002	2.5	0	3	1.07	11	2	1
296	2.5	1	0	1.37	11	2	2
301	2.5	0	3	1.21	10	2	1
306	2.5	0	3	1.19	10	2	2
311.001	2.5	0	3	0.97	5	1	1
316.002	2.5	0	3	1.28	5	1	2
331	2.5	1	0	1.46	1	1	1
336	2.5	0	3	1.08	1	1	2
341.001	2.5	0	3	1.09	6	1	1
346	2.5	0	3	1.06	6	1	2
351	2.5	0	3	1.03	1	1	1
356.003	2.5	0	3	1.05	1	1	2
361	2.5	1	0	1.39	4	1	1
366	2.5	0	3	1.13	4	1	2
381.001	2.5	0	3	1.17	10	2	1
386.002	2.5	0	3	1.1	10	2	2
391.001	2.5	1	0	1.3	7	2	1
396	2.5	0	3	1.23	7	2	2
401	2.5	0	3	1.13	2	1	1
406	2.5	0	3	1.16	2	1	2
