onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.3	12	2	1
6	2.5	0	3	2.68	12	2	2
11.001	2.5	0	3	2.5	7	2	1
16	2.5	0	3	3.48	7	2	2
21	2.5	0	3	2	4	1	1
26	2.5	0	3	2.43	4	1	2
31	2.5	0	3	2.3	9	2	1
36.001	2.5	0	3	2.18	9	2	2
41	2.5	0	3	2.34	12	2	1
46.001	2.5	0	3	2.66	12	2	2
51.002	2.5	0	3	2.37	12	2	1
56	2.5	1	0	0	12	2	2
61.001	2.5	0	3	2.19	5	1	1
66	2.5	1	0	0	5	1	2
71	2.5	0	3	1.71	3	1	1
76	2.5	0	3	1.9	3	1	2
81.001	2.5	0	3	2.3	10	2	1
86	2.5	1	0	2.27	10	2	2
91.001	2.5	0	3	2.07	10	2	1
96	2.5	0	3	2.3	10	2	2
101	2.5	1	0	0	8	2	1
106.002	2.5	0	3	2.25	8	2	2
121	2.5	1	0	0	8	2	1
126	2.5	0	3	2.01	8	2	2
131.002	2.5	0	3	2.25	11	2	1
136.001	2.5	0	3	2.22	11	2	2
141.001	2.5	0	3	2.24	5	1	1
146.001	2.5	0	3	2.22	5	1	2
151	2.5	0	3	2.14	2	1	1
156	2.5	0	3	2.46	2	1	2
161	2.5	0	3	2.42	2	1	1
166	2.5	0	3	2.42	2	1	2
171.002	2.5	0	3	2.15	6	1	1
176	2.5	0	3	2.64	6	1	2
191.001	2.5	0	3	2.29	4	1	1
196	2.5	0	3	1.87	4	1	2
211	2.5	0	3	2.07	2	1	1
216	2.5	0	3	2.73	2	1	2
221	2.5	0	3	2.14	7	2	1
226	2.5	0	3	2.2	7	2	2
231	2.5	0	3	1.7	4	1	1
236	2.5	0	3	2	4	1	2
241	2.5	0	3	2.25	3	1	1
246.002	2.5	0	3	2.16	3	1	2
251	2.5	0	3	1.72	1	1	1
256	2.5	0	3	2.29	1	1	2
261.002	2.5	0	3	1.82	9	2	1
266.001	2.5	0	3	1.96	9	2	2
271.001	2.5	1	0	1.32	11	2	1
276.001	2.5	0	3	2.48	11	2	2
281	2.5	0	3	2.12	1	1	1
286	2.5	0	3	1.5	1	1	2
291	2.5	0	3	2.27	7	2	1
296.002	2.5	0	3	2.33	7	2	2
301	2.5	0	3	1.96	6	1	1
306	2.5	0	3	2.12	6	1	2
321	2.5	1	0	1.09	8	2	1
326.001	2.5	0	3	1.73	8	2	2
331.001	2.5	0	3	2.27	5	1	1
336	2.5	0	3	2.04	5	1	2
341	2.5	0	3	2.26	6	1	1
346.001	2.5	1	0	0	6	1	2
361.001	2.5	0	3	2.06	11	2	1
366	2.5	0	3	2.23	11	2	2
371.002	2.5	0	3	1.11	9	2	1
376.001	2.5	1	0	1.87	9	2	2
381.001	2.5	0	3	1.81	3	1	1
386	2.5	0	3	1.7	3	1	2
391	2.5	0	3	1.87	1	1	1
396.002	2.5	1	0	2.77	1	1	2
401	2.5	0	3	2.15	10	2	1
406	2.5	0	3	2.29	10	2	2
