onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.16	12	2	1
6	2.5	0	3	1.11	12	2	2
11.001	2.5	0	3	1.45	1	1	1
16.001	2.5	0	3	0.96	1	1	2
21.001	2.5	0	3	0.95	2	1	1
26.001	2.5	1	0	0.96	2	1	2
31.002	2.5	0	3	1.43	1	1	1
36	2.5	0	3	1.09	1	1	2
51.001	2.5	0	3	1.25	7	2	1
56	2.5	0	3	1.17	7	2	2
61.001	2.5	0	3	0.92	4	1	1
66	2.5	0	3	0.88	4	1	2
71	2.5	0	3	0.89	3	1	1
76.001	2.5	0	3	1.24	3	1	2
81.001	2.5	0	3	1.24	8	2	1
86.001	2.5	0	3	1.1	8	2	2
91.001	2.5	1	0	1	10	2	1
96.001	2.5	0	3	1.19	10	2	2
111	2.5	0	3	1.14	10	2	1
116.001	2.5	0	3	1.24	10	2	2
121.001	2.5	0	3	1.03	2	1	1
126	2.5	0	3	1	2	1	2
131.001	2.5	1	0	0.85	6	1	1
136.001	2.5	0	3	1.45	6	1	2
141	2.5	1	0	0.9	5	1	1
146.001	2.5	0	3	1	5	1	2
151.002	2.5	0	3	0.89	4	1	1
156.001	2.5	0	3	1.03	4	1	2
161.001	2.5	0	3	1.12	7	2	1
166	2.5	0	3	1.76	7	2	2
171.001	2.5	0	3	0.89	3	1	1
176.001	2.5	0	3	0.95	3	1	2
181.002	2.5	0	3	1.01	11	2	1
186.001	2.5	0	3	1.04	11	2	2
191.002	2.5	0	3	0.88	5	1	1
196	2.5	1	0	1.01	5	1	2
201.001	2.5	0	3	0.89	6	1	1
206.001	2.5	0	3	0.88	6	1	2
211	2.5	1	0	1.3	10	2	1
216.001	2.5	0	3	1.33	10	2	2
221	2.5	0	3	0.92	3	1	1
226	2.5	0	3	0.88	3	1	2
231.001	2.5	0	3	1.33	9	2	1
236.001	2.5	0	3	1.22	9	2	2
241	2.5	0	3	0.94	2	1	1
246	2.5	0	3	0.94	2	1	2
251.001	2.5	0	3	1.03	12	2	1
256.001	2.5	0	3	1.16	12	2	2
261.001	2.5	0	3	1.07	7	2	1
266.002	2.5	0	3	1.02	7	2	2
271.002	2.5	0	3	1.25	9	2	1
276	2.5	0	3	1.17	9	2	2
281.001	2.5	0	3	1.02	1	1	1
286.001	2.5	0	3	0.96	1	1	2
291.001	2.5	1	0	0.9	4	1	1
296.001	2.5	0	3	0.91	4	1	2
301.001	2.5	0	3	1.19	9	2	1
306.001	2.5	1	0	1.02	9	2	2
321.001	2.5	0	3	1.12	8	2	1
326	2.5	0	3	1.16	8	2	2
331.002	2.5	0	3	1.1	11	2	1
336	2.5	1	0	2	11	2	2
341	2.5	1	0	1.43	5	1	1
346.001	2.5	0	3	1.41	5	1	2
351.001	2.5	0	3	1.22	8	2	1
356.001	2.5	1	0	1.16	8	2	2
361	2.5	0	3	2.01	12	2	1
366	2.5	0	3	1.13	12	2	2
381.001	2.5	0	3	1.18	11	2	1
386.001	2.5	1	0	2.15	11	2	2
401.001	2.5	0	3	1.39	6	1	1
406.002	2.5	0	3	1.1	6	1	2
