onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.23	3	1	1
6	2.5	0	3	1	3	1	2
21.001	2.5	1	0	2.44	8	2	1
26.286	2.5	0	3	2.01	8	2	2
31.411	2.5	0	3	1.86	5	1	1
36.126	2.5	0	3	1.07	5	1	2
41.002	2.5	0	3	1.13	5	1	1
46.001	2.5	0	3	0.98	5	1	2
51.001	2.5	0	3	0.96	6	1	1
56	2.5	0	3	0.91	6	1	2
61	2.5	0	3	1.62	11	2	1
66	2.5	0	3	1.87	11	2	2
71.003	2.5	0	3	1.53	12	2	1
76.001	2.5	0	3	1.37	12	2	2
81	2.5	0	3	1.9	8	2	1
86.001	2.5	0	3	2	8	2	2
91.001	2.5	0	3	1.63	12	2	1
96.001	2.5	0	3	1.29	12	2	2
101.002	2.5	1	0	1.51	3	1	1
106.001	2.5	1	0	1.46	3	1	2
111.001	2.5	0	3	1.58	4	1	1
116.001	2.5	1	0	1.68	4	1	2
131	2.5	0	3	1.28	12	2	1
136.002	2.5	0	3	1.58	12	2	2
141.001	2.5	0	3	1.73	9	2	1
146	2.5	1	0	2.16	9	2	2
151.002	2.5	0	3	1.25	2	1	1
156.002	2.5	0	3	1.01	2	1	2
161.001	2.5	0	3	0.97	6	1	1
166	2.5	0	3	0.94	6	1	2
171.001	2.5	1	0	2.59	7	2	1
176.725	2.5	1	0	2.48	7	2	2
182.387	2.5	0	3	1.09	2	1	1
186	2.5	0	3	0.95	2	1	2
191	2.5	1	0	2.37	11	2	1
196.002	2.5	0	3	2.11	11	2	2
201	2.5	0	3	1.05	4	1	1
206	2.5	0	3	1.01	4	1	2
221	2.5	1	0	2.15	9	2	1
226.001	2.5	1	0	1.96	9	2	2
231.001	2.5	0	3	2.15	10	2	1
236.002	2.5	0	3	1.98	10	2	2
241	2.5	0	3	1.33	1	1	1
246	2.5	0	3	1.13	1	1	2
251.002	2.5	0	3	0.96	3	1	1
256.001	2.5	0	3	1.47	3	1	2
261.005	2.5	0	3	1.68	8	2	1
266	2.5	0	3	1.98	8	2	2
271.001	2.5	0	3	1.82	7	2	1
276	2.5	0	3	1.66	7	2	2
281	2.5	1	0	2.73	9	2	1
286.457	2.5	0	3	2.3	9	2	2
291.349	2.5	0	3	1.64	11	2	1
296.129	2.5	0	3	2.08	11	2	2
301.003	2.5	1	0	3.02	10	2	1
306.941	2.5	0	3	2.47	10	2	2
311.973	2.5	0	3	1.13	5	1	1
316.002	2.5	0	3	0.9	5	1	2
331.001	2.5	0	3	0.96	1	1	1
336.002	2.5	0	3	0.93	1	1	2
341	2.5	1	0	1.75	6	1	1
346	2.5	0	3	0.91	6	1	2
351.001	2.5	1	0	1.05	1	1	1
356.001	2.5	0	3	1.4	1	1	2
361.002	2.5	1	0	1.36	4	1	1
366.001	2.5	0	3	1	4	1	2
381.002	2.5	1	0	2	10	2	1
386	2.5	0	3	2.02	10	2	2
391.003	2.5	1	0	2.38	7	2	1
396.161	2.5	0	3	1.86	7	2	2
401	2.5	0	3	1.08	2	1	1
406.002	2.5	0	3	1.05	2	1	2
