onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.94	8	2	1
6.001	2.5	0	3	2.03	8	2	2
11.001	2.5	0	3	1.12	3	1	1
16.001	2.5	1	0	1.53	3	1	2
21.001	2.5	0	3	1.42	5	1	1
26.001	2.5	0	3	1.44	5	1	2
41.001	2.5	0	3	1.45	6	1	1
46.001	2.5	0	3	1.58	6	1	2
51.002	2.5	0	3	2.11	7	2	1
56.001	2.5	0	3	2.33	7	2	2
61	2.5	0	3	1.89	9	2	1
66.001	2.5	0	3	2.18	9	2	2
71.002	2.5	1	0	2.77	8	2	1
76.001	2.5	0	3	1.89	8	2	2
81.001	2.5	0	3	2.19	12	2	1
86.001	2.5	1	0	2.37	12	2	2
91	2.5	0	3	1.95	9	2	1
96.001	2.5	0	3	2.06	9	2	2
101.001	2.5	1	0	2.24	11	2	1
106.001	2.5	1	0	0	11	2	2
111	2.5	0	3	1.46	2	1	1
116.001	2.5	0	3	1.5	2	1	2
121.001	2.5	0	3	2.9	10	2	1
126.001	2.5	1	0	1.95	10	2	2
131.001	2.5	0	3	2.7	7	2	1
136	2.5	0	3	2.78	7	2	2
141.001	2.5	0	3	2.47	8	2	1
146.001	2.5	0	3	2.54	8	2	2
161.001	2.5	0	3	1.65	3	1	1
166.001	2.5	0	3	1.43	3	1	2
171	2.5	0	3	1.42	3	1	1
176	2.5	0	3	1.28	3	1	2
181.001	2.5	1	0	2.12	1	1	1
186.001	2.5	0	3	1.45	1	1	2
191.001	2.5	1	0	1.5	5	1	1
196.001	2.5	1	0	1.63	5	1	2
201.001	2.5	0	3	1.65	4	1	1
206.001	2.5	0	3	1.58	4	1	2
211.001	2.5	0	3	1.44	4	1	1
216.001	2.5	0	3	1.45	4	1	2
221.001	2.5	1	0	2.48	1	1	1
226	2.5	0	3	1.74	1	1	2
231.001	2.5	0	3	3.08	10	2	1
236	2.5	0	3	1.97	10	2	2
241.001	2.5	0	3	1.45	6	1	1
246.001	2.5	0	3	1.47	6	1	2
251	2.5	0	3	2.43	7	2	1
256.001	2.5	0	3	2.45	7	2	2
261.001	2.5	0	3	2.4	9	2	1
266	2.5	0	3	2.12	9	2	2
271.001	2.5	0	3	2.33	11	2	1
276.001	2.5	0	3	2.07	11	2	2
281	2.5	0	3	1.43	2	1	1
286	2.5	0	3	1.75	2	1	2
291.001	2.5	0	3	2.15	12	2	1
296.001	2.5	0	3	2.12	12	2	2
311	2.5	0	3	2.07	11	2	1
316.001	2.5	0	3	1.98	11	2	2
321.001	2.5	0	3	2.11	12	2	1
326.001	2.5	0	3	2.05	12	2	2
331.001	2.5	0	3	1.46	6	1	1
336.001	2.5	0	3	1.39	6	1	2
341	2.5	1	0	1.74	2	1	1
346.001	2.5	0	3	1.49	2	1	2
361.001	2.5	0	3	2.15	10	2	1
366.001	2.5	0	3	2.29	10	2	2
371	2.5	0	3	1.44	4	1	1
376.001	2.5	0	3	1.59	4	1	2
391.001	2.5	1	0	1.78	1	1	1
396.001	2.5	1	0	1.85	1	1	2
401.001	2.5	0	3	1.38	5	1	1
406.001	2.5	1	0	1.87	5	1	2
