onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	1	0	2.68	10	2	1
6.245	2.5	0	3	2.48	10	2	2
21.001	2.5	0	3	2.38	4	1	1
26.002	2.5	0	3	2.54	4	1	2
31.001	2.5	0	3	2.61	9	2	1
36.221	2.5	0	3	2.27	9	2	2
41	2.5	1	0	2.17	12	2	1
46	2.5	0	3	2.36	12	2	2
51	2.5	1	0	0	5	1	1
56.489	2.5	0	3	2.66	5	1	2
61.538	2.5	0	3	2.18	8	2	1
66.44	2.5	0	3	2.11	8	2	2
71.002	2.5	1	0	2.49	10	2	1
76.106	2.5	1	0	0	10	2	2
91.001	2.5	0	3	2.39	8	2	1
96	2.5	0	3	2.17	8	2	2
101	2.5	0	3	2.12	5	1	1
106	2.5	0	3	2.07	5	1	2
111	2.5	1	0	2.22	12	2	1
116.001	2.5	0	3	2.56	12	2	2
121.002	2.5	1	0	0	11	2	1
126.484	2.5	0	3	2.29	11	2	2
141	2.5	0	3	2.23	6	1	1
146.001	2.5	0	3	1.98	6	1	2
161	2.5	0	3	2.05	2	1	1
166	2.5	0	3	2.06	2	1	2
171.001	2.5	0	3	2.16	1	1	1
176	2.5	0	3	2.26	1	1	2
181.002	2.5	0	3	1.99	6	1	1
186.001	2.5	0	3	2.09	6	1	2
191	2.5	0	3	2.03	3	1	1
196	2.5	0	3	2	3	1	2
201.003	2.5	0	3	2.29	12	2	1
206.002	2.5	0	3	2.42	12	2	2
211.001	2.5	0	3	2.14	1	1	1
216.002	2.5	0	3	2.05	1	1	2
221.001	2.5	0	3	2.47	4	1	1
226.002	2.5	0	3	2.09	4	1	2
231	2.5	1	0	2.53	7	2	1
236.008	2.5	0	3	2.47	7	2	2
241	2.5	0	3	2.25	3	1	1
246	2.5	0	3	1.95	3	1	2
251	2.5	0	3	2.34	4	1	1
256	2.5	0	3	2.03	4	1	2
261.001	2.5	0	3	2.18	2	1	1
266.001	2.5	0	3	1.83	2	1	2
271.001	2.5	1	0	2.35	7	2	1
276	2.5	1	0	2.48	7	2	2
281.003	2.5	0	3	1.79	2	1	1
286.001	2.5	0	3	2.11	2	1	2
291.002	2.5	0	3	2.23	8	2	1
296.002	2.5	0	3	2.31	8	2	2
301.001	2.5	0	3	2.32	5	1	1
306	2.5	0	3	2.18	5	1	2
311.001	2.5	0	3	2.69	9	2	1
316.266	2.5	1	0	2.82	9	2	2
321.572	2.5	1	0	2.39	10	2	1
326.585	2.5	0	3	2.74	10	2	2
331.618	2.5	1	0	0	7	2	1
337.099	2.5	0	3	2.41	7	2	2
342.127	2.5	0	3	2.02	1	1	1
346.665	2.5	0	3	1.94	1	1	2
361	2.5	0	3	2.19	6	1	1
366	2.5	0	3	2.42	6	1	2
371.162	2.5	0	3	2.41	9	2	1
376.028	2.5	1	0	2.43	9	2	2
381	2.5	1	0	0	11	2	1
386.544	2.5	0	3	2.27	11	2	2
391.174	2.5	0	3	2.08	3	1	1
396	2.5	0	3	1.98	3	1	2
401	2.5	0	3	2.34	11	2	1
406.001	2.5	0	3	2.16	11	2	2
